Strategy,lifecycle_infrastructure,environmental_restoration,safety,total_cost,aesthetic_benefit,avoided_economic_losses,net_benefit
INN,0.00E+00,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
INC,1.21E+07,856715.4179,7.78E+05,1.38E+07,2.54E+05,4.32E+06,-9.20E+06
INA,2.94E+07,2539788.091,2.33E+06,3.42E+07,7.18E+05,1.01E+07,-2.34E+07
ICN,1.18E+07,856715.4179,7.78E+05,1.35E+07,2.54E+05,1.67E+07,3.44E+06
IAN,2.91E+07,2539788.091,2.33E+06,3.40E+07,7.18E+05,3.45E+07,1.24E+06
JCC,1.53E+07,1713430.836,1.56E+06,1.85E+07,5.09E+05,2.26E+07,4.56E+06
ICC,2.40E+07,1713430.836,1.56E+06,2.73E+07,5.09E+05,2.26E+07,-4.17E+06
JAA,3.78E+07,5079576.182,4.66E+06,4.75E+07,1.44E+06,4.62E+07,1.33E+05
IAA,5.85E+07,5079576.182,4.66E+06,6.82E+07,1.44E+06,4.62E+07,-2.06E+07
