Strategy,lifecycle_infrastructure,environmental_restoration,safety,total_cost,aesthetic_benefit,avoided_economic_losses,net_benefit
INN,2.39E+06,0,3.03E+06,5.42E+06,0,0.00E+00,-5.42E+06
INC,1.45E+07,856715.4179,3.81E+06,1.84E+07,254367.1932,6.42E+06,-1.17E+07
INA,3.18E+07,2539788.091,5.36E+06,3.73E+07,718271.8723,1.25E+07,-2.41E+07
ICN,1.43E+07,856715.4179,3.81E+06,1.89E+07,254367.1932,2.06E+07,2.00E+06
IAN,3.15E+07,2539788.091,5.36E+06,3.94E+07,718271.8723,3.93E+07,5.69E+05
JCC,1.77E+07,1713430.836,4.59E+06,2.32E+07,508734.3864,2.75E+07,4.78E+06
ICC,2.64E+07,1713430.836,4.59E+06,3.19E+07,508734.3864,2.75E+07,-3.92E+06
JAA,4.02E+07,5079576.182,7.69E+06,5.07E+07,1436543.745,5.21E+07,2.85E+06
IAA,6.09E+07,5079576.182,7.69E+06,7.14E+07,1436543.745,5.21E+07,-1.78E+07
