Strategy,lifecycle_infrastructure,environmental_restoration,safety,total_cost,aesthetic_benefit,avoided_economic_losses,net_benefit
INN,0.00E+00,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
INC,1.21E+07,856715.4179,7.80E+05,1.30E+07,2.54E+05,4.15E+06,-8.59E+06
INA,2.94E+07,2539788.091,2.33E+06,3.19E+07,7.18E+05,9.86E+06,-2.13E+07
ICN,1.19E+07,856715.4179,7.80E+05,1.35E+07,2.54E+05,1.59E+07,2.63E+06
IAN,2.91E+07,2539788.091,2.33E+06,3.40E+07,7.18E+05,3.35E+07,1.97E+05
JCC,1.53E+07,1713430.836,1.56E+06,1.78E+07,5.09E+05,2.15E+07,4.21E+06
ICC,2.40E+07,1713430.836,1.56E+06,2.65E+07,5.09E+05,2.15E+07,-4.49E+06
JAA,3.78E+07,5079576.182,4.66E+06,4.53E+07,1.44E+06,4.48E+07,9.58E+05
IAA,5.85E+07,5079576.182,4.66E+06,6.60E+07,1.44E+06,4.48E+07,-1.97E+07
