Strategy,lifecycle_infrastructure,environmental_restoration,safety,total_cost,aesthetic_benefit,economic_losses,net_benefit
I_NN,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
I_NC,4.88E+06,3.15E+05,1.43E+06,6.63E+06,1.02E+03,0.00E+00,-6.62E+06
I_NA,1.27E+07,9.34E+05,4.27E+06,1.79E+07,2.22E+03,0.00E+00,-1.79E+07
I_CN,1.17E+07,3.15E+05,1.43E+06,1.34E+07,1.02E+03,-3.22E+08,3.09E+08
I_AN,1.27E+07,9.34E+05,4.27E+06,1.79E+07,2.22E+03,-6.20E+08,6.02E+08
J_CC,1.31E+07,6.30E+05,2.85E+06,1.66E+07,2.04E+03,-3.23E+08,3.06E+08
I_CC,1.66E+07,6.30E+05,2.85E+06,2.01E+07,2.04E+03,-3.23E+08,3.03E+08
J_AA,3.44E+07,1.87E+06,8.53E+06,4.48E+07,4.44E+03,-6.22E+08,5.77E+08
I_AA,4.26E+07,1.87E+06,8.53E+06,5.30E+07,4.44E+03,-6.22E+08,5.69E+08
