Strategy,lifecycle_infrastructure,environmental_restoration,safety,total_cost,aesthetic_benefit,avoided_economic_losses,net_benefit
INN,4.94E+06,0,5.11E+06,1.00E+07,0,0.00E+00,-5.42E+06
INC,2.66E+07,2155996.308,5.29E+06,3.40E+07,428482.4443,1.81E+07,-6.54E+05
INA,3.63E+07,4500268.725,5.29E+06,4.61E+07,766942.446,2.61E+07,-1.28E+07
ICN,2.61E+07,2155996.308,7.39E+06,3.56E+07,428482.4443,4.61E+07,2.76E+07
IAN,3.59E+07,4500268.725,9.76E+06,5.02E+07,766942.446,7.06E+07,3.20E+07
JCC,3.22E+07,4311992.616,7.39E+06,4.39E+07,856964.8885,5.95E+07,3.64E+07
ICC,4.76E+07,4311992.616,7.39E+06,5.93E+07,856964.8885,5.95E+07,2.76E+07
JAA,4.51E+07,9000537.45,9.76E+06,6.38E+07,1533884.892,9.20E+07,4.06E+07
IAA,6.72E+07,9000537.45,9.76E+06,8.60E+07,1533884.892,9.20E+07,1.99E+07
