capex_broadband,opex_broadband,lifecycle_infrastructure_broadband
0.0,608.8260037937887,608.8260037937887
0.0,533.3152437258556,533.3152437258556
0.0,29.674027079225205,29.674027079225205
0.0,94.2836734864656,94.2836734864656
0.0,85.68551190942149,85.68551190942149
0.0,155.50009566969308,155.50009566969308
0.0,42.65698601098324,42.65698601098324
0.0,233.95997220307564,233.95997220307564
0.0,585.2729675932612,585.2729675932612
0.0,31.872895308085443,31.872895308085443
0.0,975.4655247621591,975.4655247621591
0.0,70.07275002270772,70.07275002270772
0.0,79.78617198309892,79.78617198309892
0.0,186.17965727809806,186.17965727809806
0.0,46.893082669890276,46.893082669890276
0.0,1389.0493861848404,1389.0493861848404
0.0,137.86201745830203,137.86201745830203
0.0,41.30308890671541,41.30308890671541
0.0,1135.0879531246228,1135.0879531246228
0.0,37.57052564805116,37.57052564805116
0.0,1753.0400704761378,1753.0400704761378
0.0,88.27440513732671,88.27440513732671
0.0,61.062985904956896,61.062985904956896
0.0,29.830250655587477,29.830250655587477
0.0,34.477049040746834,34.477049040746834
0.0,27.71382248075847,27.71382248075847
0.0,37.480153379222855,37.480153379222855
0.0,92.36807472268443,92.36807472268443
0.0,1084.3086094534142,1084.3086094534142
0.0,21.007791662599363,21.007791662599363
0.0,42.974571364663774,42.974571364663774
0.0,10.612821298478805,10.612821298478805
0.0,79.88029910224985,79.88029910224985
0.0,14.896416689990263,14.896416689990263
0.0,59.14916698628536,59.14916698628536
0.0,78.02525409066305,78.02525409066305
0.0,117.77595140127245,117.77595140127245
0.0,32.09561013582814,32.09561013582814
0.0,76.04254327925112,76.04254327925112
0.0,38.42750922555919,38.42750922555919
0.0,43.96596651938745,43.96596651938745
0.0,311.64227609099385,311.64227609099385
0.0,122.13309021857505,122.13309021857505
0.0,33.05214876990942,33.05214876990942
0.0,122.5482234228727,122.5482234228727
0.0,59.39297177658252,59.39297177658252
0.0,35.351833621501314,35.351833621501314
0.0,36.11172476733779,36.11172476733779
0.0,490.62855982484007,490.62855982484007
0.0,53.208352074373444,53.208352074373444
0.0,1001.0966759433021,1001.0966759433021
0.0,1015.6379887410127,1015.6379887410127
0.0,26.44203729201939,26.44203729201939
0.0,121.71696377313695,121.71696377313695
0.0,2448.110830263229,2448.110830263229
0.0,787.0711910380371,787.0711910380371
0.0,217.57949100493408,217.57949100493408
0.0,51.53664060523933,51.53664060523933
0.0,28.90041467451692,28.90041467451692
0.0,477.1217187721251,477.1217187721251
0.0,1457.3085403443583,1457.3085403443583
0.0,1749.2105373366953,1749.2105373366953
0.0,71.73591351612467,71.73591351612467
0.0,87.31563438624211,87.31563438624211
0.0,2729.917266702193,2729.917266702193
0.0,43.82859128161731,43.82859128161731
0.0,173.2733172019337,173.2733172019337
0.0,664.5521702475382,664.5521702475382
0.0,1764.313246529124,1764.313246529124
0.0,12.630093527134616,12.630093527134616
0.0,69.81538114085183,69.81538114085183
0.0,983.0022229907809,983.0022229907809
0.0,74.89136705600032,74.89136705600032
0.0,548.2832327031539,548.2832327031539
0.0,275.644310566481,275.644310566481
0.0,58.07900337114165,58.07900337114165
0.0,365.85553970420364,365.85553970420364
0.0,192.8735029911564,192.8735029911564
0.0,1235.4921283050894,1235.4921283050894
0.0,17.288905747289558,17.288905747289558
0.0,69.83903144036229,69.83903144036229
0.0,31.337191091531423,31.337191091531423
0.0,67.4055328291209,67.4055328291209
0.0,1912.9004107271044,1912.9004107271044
0.0,22.25748170937788,22.25748170937788
0.0,172.257853153255,172.257853153255
0.0,1761.0801652534165,1761.0801652534165
0.0,412.01473611073027,412.01473611073027
0.0,20.116593564751955,20.116593564751955
0.0,982.2877108489038,982.2877108489038
0.0,119.28887711936397,119.28887711936397
0.0,746.2988801917194,746.2988801917194
0.0,77.34227439275071,77.34227439275071
0.0,41.7685041757941,41.7685041757941
0.0,38.26272299348703,38.26272299348703
0.0,710.2782880718776,710.2782880718776
0.0,866.5238050353657,866.5238050353657
0.0,547.704901240046,547.704901240046
0.0,81.99747951679807,81.99747951679807
0.0,64.20645735555973,64.20645735555973
0.0,48.44769339330678,48.44769339330678
0.0,147.3197258360014,147.3197258360014
0.0,36.17913411729406,36.17913411729406
0.0,159.56795452348618,159.56795452348618
0.0,883.2845773360478,883.2845773360478
0.0,11.898384215830607,11.898384215830607
0.0,1208.34784671483,1208.34784671483
0.0,41.02584841496442,41.02584841496442
0.0,26.467319257962753,26.467319257962753
0.0,1623.3631422654905,1623.3631422654905
0.0,1304.717058194239,1304.717058194239
0.0,696.8309584456975,696.8309584456975
0.0,63.49995390933387,63.49995390933387
0.0,68.79372228213458,68.79372228213458
0.0,21.220962472030834,21.220962472030834
0.0,65.34956175775845,65.34956175775845
0.0,29.48938053287176,29.48938053287176
0.0,443.5007914223842,443.5007914223842
0.0,101.06826460529548,101.06826460529548
0.0,129.45910935160097,129.45910935160097
0.0,34.27082462548913,34.27082462548913
0.0,179.5441227703666,179.5441227703666
0.0,45.34486594093017,45.34486594093017
0.0,1732.3211673354306,1732.3211673354306
0.0,77.24466840591553,77.24466840591553
0.0,1070.7441699864632,1070.7441699864632
0.0,326.0127029518531,326.0127029518531
0.0,19.644682672632634,19.644682672632634
0.0,282.4561152361811,282.4561152361811
0.0,29.963110021555984,29.963110021555984
0.0,23.268530488003275,23.268530488003275
0.0,1546.598902155588,1546.598902155588
0.0,37.79207829536222,37.79207829536222
0.0,2940.8399096752846,2940.8399096752846
0.0,547.3829019416049,547.3829019416049
0.0,63.195481597222546,63.195481597222546
0.0,59.30549073586205,59.30549073586205
