Strategy,lifecycle_infrastructure,environmental_restoration,safety,total_cost,aesthetic_benefit,avoided_economic_losses,net_benefit
INN,2405314.257,0,1227084.074,3632398.332,0,0,-3632398.332
INC,14545356.01,565125.6812,1510919.872,16621401.57,254367.1932,2665072.554,-13701961.82
INA,31767086.79,1675351.517,2126833.608,35569271.92,718271.8723,5480562.667,-29370437.38
ICN,14256188.21,565125.6812,1510919.872,16332233.76,254367.1932,8436094.81,-7641771.759
IAN,31534037.09,1675351.517,2126833.608,35336222.22,718271.8723,17348325.55,-17269624.8
JCC,17687521.72,1130251.362,1819348.441,20637121.52,508734.3863,11101167.36,-9027219.77
ICC,26416178.82,1130251.362,1819348.441,29365778.62,508734.3863,11101167.36,-17755876.87
JAA,40211954.55,3350703.034,3051175.912,46613833.5,1436543.745,22828888.21,-22348401.54
IAA,60915758.48,3350703.034,3051175.912,67317637.42,1436543.745,22828888.21,-43052205.47
