el_underground_proportion,br_underground_proportion
0.3383761896897459,0.3383761896897459
0.3740491801304504,0.3740491801304504
0.37819928357507826,0.37819928357507826
0.3855389330159605,0.3855389330159605
0.39910371029099884,0.39910371029099884
0.4171522690878807,0.4171522690878807
0.4333493208408664,0.4333493208408664
0.4460359453463177,0.4460359453463177
0.4673244624908951,0.4673244624908951
0.49236489521853183,0.49236489521853183
0.5135765763070657,0.5135765763070657
0.542448615949085,0.542448615949085
0.5789989834647151,0.5789989834647151
0.6152926450257947,0.6152926450257947
0.6559238076531727,0.6559238076531727
0.6896222955010074,0.6896222955010074
0.7247896304022321,0.7247896304022321
0.7668522785888795,0.7668522785888795
0.7971756442182194,0.7971756442182194
0.8410660152769428,0.8410660152769428
0.8717424953744713,0.8717424953744713
0.8920096132009453,0.8920096132009453
0.9178875613948252,0.9178875613948252
0.9383054228804337,0.9383054228804337
0.9572346516181423,0.9572346516181423
0.9719482273657637,0.9719482273657637
0.9827124512122072,0.9827124512122072
0.9898858375834452,0.9898858375834452
0.9927272555102037,0.9927272555102037
0.994802793799674,0.994802793799674
0.9977461187660088,0.9977461187660088
0.9998836218077137,0.9998836218077137
1.0000618406701312,1.0000618406701312
1.0000618406701312,1.0000618406701312
1.0000618406701312,1.0000618406701312
1.0000618406701312,1.0000618406701312
1.0000618406701312,1.0000618406701312
1.0000618406701312,1.0000618406701312
1.0000618406701312,1.0000618406701312
1.0000618406701312,1.0000618406701312
