Strategy,aesthetic_benefit_el,economic_losses_el,aesthetic_benefit_br,economic_loss_br
S1,0.0,82065929.2841374,0.0,39904353.731687695
S2,0.0,81686750.01827781,428482.44425709936,31490594.926388357
S3,0.0,81686750.01827781,766942.4459958057,21836577.558633238
S4,428482.44425709936,63985800.656404026,0.0,40202112.48886323
S5,766942.4459958057,44369784.11970127,0.0,40202112.48886323
S6,428482.44425709936,63985800.656404026,428482.44425709936,31490594.926388357
S10,766942.4459958057,44369784.11970127,766942.4459958057,21836577.558633238
