gid,phasedesig,servicetyp,subtype,geometry
2456,1,UG,Primary,"LINESTRING (591680.810720017 2932429.0619506305, 591650.9652952405 2932391.0125896507, 591609.2321041406 2932343.4001268256, 591572.6499999999 2932317.7199999997)"
2457,1,UG,Primary,"LINESTRING (591790.3273 2932158.3739499995, 591815.8137 2932161.2178, 591868.2498 2932172.3227999997)"
2458,1,UG,Primary,"LINESTRING (591825.385 2931915.89, 591850.1858633774 2931923.080389214, 591906.6132 2931925.70655)"
2459,1,UG,Primary,"LINESTRING (589895.7617314559 2932863.7638652744, 589881.0153613907 2932868.6793219624, 589691.1437991121 2932744.5399452033, 589691.8622 2932730.6114)"
2460,1,UG,Primary,"LINESTRING (590162.4397000001 2932921.9675499997, 590156.2809359427 2932935.8572300375, 590059.5139062331 2932947.4230104806, 590045.3458251901 2932947.4230104806, 590031.8524146727 2932945.9772879253, 590016.5277555853 2932943.085842814, 590001.4922410089 2932938.748675148, 589986.7458709436 2932933.544073948, 589973.2524604264 2932927.6648022234, 589956.1929342725 2932917.833888847, 589934.5070959411 2932903.9549523145, 589893.4485753672 2932877.353657295, 589896.5003000001 2932863.6541500003)"
2461,1,UG,Primary,"LINESTRING (590397.4954 2932885.0178, 590392.8975275132 2932899.425021641, 590176.5210517186 2932932.6766404156, 590162.4397000001 2932921.9675499997)"
2462,1,UG,Primary,"LINESTRING (590653.95115 2932761.7970000003, 590655.9226510961 2932778.369853001, 590589.3230320431 2932835.138558677, 590567.6371937118 2932851.3306512977, 590546.5296444026 2932864.6312988074, 590523.3980835159 2932875.13688271, 590508.9408579617 2932879.474050376, 590494.4836324075 2932882.943784509, 590409.378764645 2932897.4010100635, 590397.4954 2932885.0178)"
2463,1,UG,Primary,"LINESTRING (590895.3899999999 2932492.6950000003, 590903.0448265694 2932505.031908522, 590899.2859479253 2932517.1759779877, 590891.3826646224 2932539.5364868455, 590885.5997744006 2932553.126278866, 590877.5037280903 2932566.4269263763, 590869.9859708021 2932577.9927068194, 590854.9504562258 2932599.1002561287, 590845.1195428489 2932610.955181083, 590827.1925831616 2932627.147273704, 590672.1147437168 2932764.201771958, 590653.95115 2932761.7970000003)"
2464,1,UG,Primary,"LINESTRING (590848.8049359301 2932272.8181435675, 590860.7333464473 2932276.4149817587, 590891.6718091334 2932345.616901411, 590896.2981213108 2932359.2066934323, 590900.346144466 2932374.242208008, 590905.3579826581 2932400.36159551, 590909.4060058133 2932426.0954569965, 590911.4300173909 2932450.4799774312, 590909.9842948355 2932464.9372029854, 590908.53857228 2932477.9487059843, 590906.5145607024 2932489.7072494347, 590895.3899999999 2932492.6950000003)"
2465,1,UG,Primary,"LINESTRING (590853.2789852056 2932260.488781562, 590848.8049359301 2932272.8181435675)"
2466,1,UG,Primary,"LINESTRING (589497.0464499999 2932606.6462999997, 589484.3090921848 2932610.1841290547, 589410.3844788512 2932561.3187066815, 589283.66365 2932512.6021499997)"
2467,1,UG,Primary,"LINESTRING (589633.63 2932681.17, 589573.8475091166 2932659.2423144346, 589559.1011390515 2932655.2906727833, 589549.5593701857 2932651.8209386505, 589499.3446067611 2932620.5933314534, 589497.0464499999 2932606.6462999997)"
2468,1,UG,Primary,"LINESTRING (589745.65075 2932344.697, 589732.0095566788 2932354.38761825, 589733.2625162269 2932380.1214797366, 589735.8648168267 2932399.7833064897, 589737.021394871 2932412.5056649772, 589737.8888284041 2932432.263873235, 589737.310539382 2932447.299387811, 589737.7924469005 2932467.0575960684, 589735.1901463007 2932485.851989289, 589728.2506780348 2932513.2243363373, 589723.0460768352 2932525.6575503144, 589709.4562848144 2932553.5118048815, 589697.3122153489 2932573.1736316355, 589657.6994173307 2932621.8462910014, 589627.339243667 2932658.3748809015, 589633.63 2932681.17)"
2469,1,UG,Primary,"LINESTRING (589545.4342499999 2932237.41735, 589540.1139828237 2932222.344958189, 589445.3709646923 2932194.6834666287, 589432.3594616937 2932193.237744073, 589421.9502592946 2932195.2617556504, 589412.69763494 2932201.044645872, 589402.5775770522 2932206.6347730868, 589391.0117966089 2932210.9719407526, 589378.0002936102 2932212.1285187975, 589370.7716808332 2932210.9719407526, 589357.4710333234 2932205.7673395537, 589341.7608482211 2932192.2739290358, 589321.0248 2932182.1313)"
2470,1,UG,Primary,"LINESTRING (589745.65075 2932344.697, 589696.1556373044 2932281.7159644645, 589684.8790013721 2932266.9695944, 589677.072099573 2932262.921571244, 589666.9520416851 2932259.4518371117, 589558.0409425107 2932227.5495593883, 589545.4342499999 2932237.41735)"
2471,1,UG,Primary,"LINESTRING (589852.5828178001 2932138.8785759895, 589840.1496038234 2932135.601604864, 589822.5117886474 2932148.0348188407, 589804.1029214419 2932165.0943449945, 589790.5131294209 2932178.973281526, 589775.4776148447 2932199.213397302, 589763.2371638755 2932220.2245651074, 589754.8519730541 2932234.6817906615, 589747.623360277 2932252.89789486, 589739.9128399816 2932279.691952887, 589735.8648168264 2932302.534369262, 589733.5516607378 2932325.0876411265, 589733.4552792341 2932333.569213452, 589745.65075 2932344.697)"
2472,1,UG,Primary,"LINESTRING (590167.04 2932052.615, 590157.4375139845 2932045.0029913913, 589940.3863676654 2932096.1815698533, 589911.182772046 2932103.8920901483, 589884.5814770265 2932112.5664254813, 589857.4018929848 2932124.999639458, 589852.5828178001 2932138.8785759895)"
2473,1,UG,Primary,"LINESTRING (590307.69755 2932011.7597999997, 590221.0493064227 2932028.232609749, 590171.0273060055 2932041.5332572586, 590167.04 2932052.615)"
2474,1,UG,Primary,"LINESTRING (590357.0155000001 2932246.5972, 590346.4416427284 2932257.524207039, 590375.0669493256 2932396.988242884, 590390.62525 2932400.7676)"
2475,1,UG,Primary,"LINESTRING (590307.69755 2932011.7597999997, 590297.9135556184 2932022.5461010328, 590342.0562843103 2932242.1031664475, 590357.0155000001 2932246.5972)"
2476,1,UG,Primary,"LINESTRING (590258.2553999999 2931775.6235499997, 590248.3734627196 2931787.857139537, 590293.8655324632 2932007.7997309673, 590307.69755 2932011.7597999997)"
2477,1,UG,Primary,"LINESTRING (590216.4711849969 2931633.357589116, 590226.8215985532 2931623.7339767073)"
2478,3,OH,Primary,"LINESTRING (586486.74 2938669.850000001, 586558.7994534962 2938783.3915774766)"
2479,1,OH,Primary,"LINESTRING (586558.7994534962 2938783.3915774766, 586476.3827888803 2938775.03429169, 586373.1531144792 2938788.7982482766, 586240.4005952902 2938805.0928831464)"
2480,3,OH,Primary,"LINESTRING (586558.7994534962 2938783.3915774766, 586709.23 2938775.3799999994)"
2481,1,OH,Primary,"LINESTRING (586238.9400000001 2937766.8399999994, 586239.7700000001 2937879.1299999985, 586245.0000000001 2938005.369999999, 586265.88 2938122.5899999994, 586266.5977648646 2938124.9918568004)"
2482,3,OH,Primary,"LINESTRING (586211.14 2937079.5400000005, 586176.69 2937141.71)"
2483,1,OH,Primary,"LINESTRING (588426.5699999998 2934441.4099999988, 588544.26 2934444.3700000006, 588682 2934460.8100000005)"
2484,3,UG,Primary,"LINESTRING (588823.9488679523 2933696.4905666085, 588913.1315651761 2933726.9958000733, 588962.6818088886 2933861.882574624)"
2485,3,UG,Primary,"LINESTRING (587847.0299999999 2933566.47, 587801.0038729603 2933515.2602679124)"
2487,3,OH,Primary,"LINESTRING (588924.31 2931855.18, 588873.1281401416 2931763.0411633295)"
2488,3,OH,Primary,"LINESTRING (588924.31 2931855.18, 589001.2354330749 2931858.2284587473)"
2489,1,UG,Primary,"LINESTRING (590786.05 2932070.7299999995, 590802.0625572609 2932084.2675814326, 590802.4066561755 2932107.3222087156, 590803.4389529194 2932124.871253364, 590807.6828395338 2932156.528353514, 590811.8120265098 2932168.9159144415, 590853.2789852056 2932260.488781562)"
2490,1,UG,Primary,"LINESTRING (590819.1336182948 2931999.4151373133, 590812.959022892 2932019.691685113, 590806.765242428 2932043.0904113105, 590803.4389529196 2932057.427866088, 590785.98 2932067.8500000006)"
2491,1,OH,Primary,"LINESTRING (592429.26 2931667.819999999, 592356.2100000002 2931898.74, 592321.9999999999 2932085.72, 592288.4700000001 2932269.529999999)"
2492,3,OH,Primary,"LINESTRING (593542.3499999999 2931975.1299999994, 593567.55 2932084.92)"
2493,1,UG,Primary,"LINESTRING (593895.39635 2932883.5954000005, 593894.8236023209 2932909.187379537, 593896.1550168025 2932911.9500645865)"
2494,1,UG,Primary,"LINESTRING (594072.4837 2933086.8334, 594062.18 2933097.950000002, 594061.2527773832 2933121.267010611, 594061.2527773832 2933135.719165027, 594061.5968762978 2933145.698033553, 594063.3173708712 2933169.440858665, 594064.6937665299 2933181.828419593, 594067.1024589327 2933189.7426946308, 594069.85525025 2933198.689266412, 594072.952140482 2933207.635838194)"
2495,1,UG,Primary,"LINESTRING (594148.8433488295 2932799.997460461, 594141.3131248632 2932819.0334638925, 594133.0547509111 2932836.2384096254, 594109.4266254371 2932889.5737413997, 594103.5769438876 2932902.305401243, 594101.5123503996 2932908.499181707, 594093.8274746387 2932929.9480140544, 594089.0100898333 2932944.056069556, 594083.8486061132 2932963.3256087773, 594077.9989245639 2932985.0038404022, 594073.1815397585 2933004.273379623, 594069.7405506118 2933022.166523186, 594067.3318582091 2933040.0596667496, 594063.4320705095 2933070.5697705164, 594072.3363 2933084.2029)"
2496,1,UG,Primary,"LINESTRING (595631.7899999999 2932579.3299999996, 595551.2010779025 2932740.4642117084)"
2497,1,OH,Primary,"LINESTRING (595709.01 2932542.64, 595631.7899999999 2932579.3299999996)"
2498,1,OH,Primary,"LINESTRING (595910.7599999999 2932634.2499999995, 595892.0000000005 2932689.13)"
2499,1,UG,Primary,"LINESTRING (595892 2932689.13, 595856.0727162986 2932797.584631543)"
2501,3,OH,Primary,"LINESTRING (594851.8061320574 2929476.674226795, 594810.952426729 2929520.473728018)"
2502,1,OH,Primary,"LINESTRING (586239.7700000001 2937879.1299999994, 586105.1200000001 2937906.17, 585960.51 2937935.18)"
2503,1,OH,Primary,"LINESTRING (586305.15 2937602.8899999997, 586236.98 2937639.8, 586155.74 2937656.5999999996, 586057.5800000001 2937678.0699999994, 585916.38 2937702.7999999993)"
2504,1,OH,Primary,"LINESTRING (586178.5599999998 2936991.939999999, 586008.48 2936991.1099999994, 585870.3500000001 2936990.159999999, 585762.03 2936991.16, 585759.1441234368 2936991.2275951444)"
2505,1,OH,Primary,"LINESTRING (586052.56 2936761.17, 585992.4899999995 2936612.319999999, 585876.914149027 2936508.9659855748)"
2506,3,UG,Primary,"LINESTRING (591737.8221595011 2932369.427325544, 591725.024219147 2932384.1212570616)"
2507,1,OH,Primary,"LINESTRING (586839.3899999999 2936284.21, 586914.95 2936354.01, 586995.2133041586 2936427.9385255617)"
2508,1,OH,Primary,"LINESTRING (588126.2800000001 2935365.1899999995, 588227.83 2935377.569999999, 588296.4436952975 2935391.9145855415, 588317.8999999999 2935505.1700000004, 588337.27 2935618.5699999994, 588373.67 2935723.34)"
2509,1,OH,Primary,"LINESTRING (588547.7399999999 2933553.5, 588685.44 2933523.9499999993, 588832.51 2933531.59, 588963.47 2933542.39, 589088.67 2933550.7399999993)"
2510,1,OH,Primary,"LINESTRING (588520.5004116264 2933663.952202435, 588547.7399999999 2933553.5, 588573.37 2933448.8599999994)"
2511,1,OH,Primary,"LINESTRING (588321.4499999998 2934786.3100000005, 588266.2117973007 2934672.1354767326)"
2512,1,OH,Primary,"LINESTRING (586628.0799999998 2933290.119999999, 586486.3099999998 2933216.439999999, 586378.1699999999 2933215.5000000005)"
2513,1,OH,Primary,"LINESTRING (586936.52 2933762.7599999993, 586958.92 2933675.9399999995, 586978.2599999999 2933600.22, 586974.1799999998 2933499.17, 586971.8850399775 2933496.8078141995)"
2514,1,OH,Primary,"LINESTRING (587466.21 2932589.029999999, 587339.74 2932591.1600000006, 587207.9709537127 2932521.7242480544, 587190.5430143693 2932591.9115788755)"
2515,1,OH,Primary,"LINESTRING (587202.17 2931859.189999999, 587108.4299999999 2931802.34, 587154.0879189956 2931697.1128397677)"
2516,1,OH,Primary,"LINESTRING (587550.6299999999 2931811.08, 587410.3900000001 2931817, 587283.6337595966 2931859.9511434743, 587202.17 2931859.189999999, 587071.2521746374 2931909.456982495)"
2517,1,UG,Primary,"LINESTRING (590158.3216591201 2931405.9286659807, 590182.5383850626 2931496.785818164, 590199.8783167228 2931559.5763063245, 590210.1403909761 2931605.147568708, 590216.4711849969 2931633.357589116)"
2518,1,OH,Primary,"LINESTRING (590110.52 2931348.91, 590156.4000000001 2931406.42)"
2519,1,OH,Primary,"LINESTRING (589799.1400000001 2931442.25, 589808.0799999998 2931366.0699999994, 589816.118110474 2931289.94890105)"
2520,1,OH,Primary,"LINESTRING (590671.6599999999 2928543.6600000006, 590781.3300000001 2928593.939999999, 590864.66 2928638.2700000005, 590930.9753175721 2928672.3797151605)"
2521,1,OH,Primary,"LINESTRING (590617.7799999999 2928854.9699999997, 590668.3799999997 2928840.2299999995, 590737.3199999998 2928875.8799999994, 590838.6899999998 2928927.99, 590944 2928982.01, 590946.3989850844 2928983.007878808)"
2522,1,UG,Primary,"LINESTRING (591133.4899999999 2929314.4899999993, 591136.246745922 2929315.486751325)"
2523,1,OH,Primary,"LINESTRING (590457.48 2928396.6000000006, 590583.85 2928377.51, 590723.1000000001 2928432.369999999, 590671.6599999999 2928543.6600000006, 590657.6 2928638.12, 590636.1399999999 2928746.39, 590635.6458847595 2928749.312169543)"
2524,1,OH,Primary,"LINESTRING (590883.29 2931294.24, 590936.43 2931182.6399999997, 590917.1200000001 2931059.25, 590916.3730183298 2931056.3847998083)"
2525,1,UG,Primary,"LINESTRING (590843.6100000001 2931887.46, 590844.6594314965 2931929.4677790594, 590840.6813826859 2931948.3635109104, 590833.7197972672 2931964.772962254, 590819.1336182948 2931999.4151373133)"
2526,1,OH,Primary,"LINESTRING (590782.79 2931297.5200000005, 590825.51 2931374.560000001, 590830.38 2931496.9799999995, 590830.4934197548 2931499.602831829)"
2527,1,OH,Primary,"LINESTRING (591972.2374582008 2931547.0717194607, 591957.51 2931636.5099999984)"
2528,1,UG,Primary,"LINESTRING (592301.3099999998 2931710.47, 592265.4821 2932111.8722999995)"
2529,3,OH,Primary,"LINESTRING (592316.6583976218 2931631.9257622515, 592301.3099999998 2931710.47)"
2530,1,OH,Primary,"LINESTRING (592317.0200000001 2931630.47, 592282.9799999999 2931525.7300000004, 592273.2700000001 2931362.2700000005)"
2531,1,OH,Primary,"LINESTRING (593319.79 2931936.0099999993, 593304.47 2932142.2899999996, 593287.3 2932357.2799999993)"
2532,1,OH,Primary,"LINESTRING (593770.25 2931984.2299999995, 593783.83 2932095.45, 593802.4924412455 2932187.790710067)"
2533,1,UG,Primary,"LINESTRING (594173.5999999999 2932703.4900000007, 594162.7665196668 2932759.3882121854, 594156.3021903496 2932781.10172861, 594148.8433488295 2932799.997460461)"
2534,1,OH,Primary,"LINESTRING (594240.2599999999 2931976.24, 594230.5 2932064.43, 594222.6999999998 2932151.6600000006, 594213.62 2932251.7000000007, 594204.4 2932351.4600000004, 594194.8799999999 2932460.6899999995, 594183.79 2932570.99, 594173.5999999999 2932703.4900000007)"
2535,3,OH,Primary,"LINESTRING (596162.36 2932687.390000001, 596105.6199999998 2932679.24)"
2536,3,OH,Primary,"LINESTRING (596138.7699999999 2932579.810000001, 596162.36 2932687.390000001, 596173.9000000001 2932739.55)"
2537,3,OH,Primary,"LINESTRING (596551.57 2931335.83, 596613.05 2931287.3499999996)"
2538,3,OH,Primary,"LINESTRING (596486.7900000003 2931387.8, 596551.57 2931335.83)"
2539,3,UG,Primary,"LINESTRING (592855.8399999999 2927632.91, 592855.3773513027 2927632.5530324774, 592830.4864727022 2927619.1380577255)"
2540,3,OH,Primary,"LINESTRING (596013.8599999995 2930811.12, 595982.11 2930859.37)"
2541,3,UG,Primary,"LINESTRING (595982.1099999999 2930859.37, 595935.9699999999 2931022.2700000005)"
2542,3,UG,Primary,"LINESTRING (595950.5565256571 2931515.757304151, 596083.2846402036 2931509.632376161)"
2543,3,UG,Primary,"LINESTRING (595850.7009910432 2931394.0978711564, 595950.5565256571 2931515.757304151)"
2544,3,UG,Primary,"LINESTRING (595971.495 2931294.115, 595850.7009910432 2931394.0978711564)"
2545,3,UG,Primary,"LINESTRING (596081.6029437252 2931511.3070562743, 596017.2649999999 2931731.3099999996)"
2546,3,UG,Primary,"LINESTRING (596364.27 2931327.9499999993, 596084.9970562749 2931507.9129437255)"
2547,3,OH,Primary,"LINESTRING (596378.9055155597 2931259.1824388066, 596363.7165433988 2931328.022189991)"
2548,3,UG,Primary,"LINESTRING (591698.638342121 2932411.6131289336, 591683.6786 2932427.2369500003)"
2549,3,UG,Primary,"LINESTRING (591713.3322736386 2932397.867192997, 591698.638342121 2932411.6131289336)"
2550,3,UG,Primary,"LINESTRING (591725.024219147 2932384.1212570616, 591713.3322736386 2932397.867192997)"
2551,3,UG,Primary,"LINESTRING (591746.828117528 2932356.1553873993, 591737.8221595011 2932369.427325544)"
2552,3,UG,Primary,"LINESTRING (591752.5160910186 2932344.779440418, 591746.828117528 2932356.1553873993)"
2553,3,UG,Primary,"LINESTRING (591763.8920379999 2932307.3336149375, 591752.5160910186 2932344.779440418)"
2554,3,UG,Primary,"LINESTRING (591772.5819974996 2932268.1497975574, 591763.8920379999 2932307.3336149375)"
2555,3,UG,Primary,"LINESTRING (591781.1139577356 2932218.8540273043, 591772.5819974996 2932268.1497975574)"
2556,3,UG,Primary,"LINESTRING (591788.90315 2932159.38995, 591781.1139577356 2932218.8540273043)"
2557,3,UG,Primary,"LINESTRING (591824.355 2931917.25, 591788.7824 2932156.2084)"
2558,3,UG,Primary,"LINESTRING (591843.9370536929 2931764.57610129, 591823.23 2931914.16)"
2559,3,UG,Primary,"LINESTRING (591869.7138 2931706.2609, 591843.9370536929 2931764.57610129)"
2560,3,UG,Primary,"LINESTRING (591947.3291830738 2931553.51912816, 591870.9878 2931701.99025)"
2561,3,UG,Primary,"LINESTRING (591972.36 2931547.0399999996, 591972.2374582008 2931547.0717194607, 591947.3291830738 2931553.51912816)"
2562,3,OH,Primary,"LINESTRING (592005.0899999999 2931488.62, 591972.36 2931547.0399999996)"
2563,3,OH,Primary,"LINESTRING (594474.3300000001 2932025.62, 594435.5100000001 2931894.729999999)"
2564,3,OH,Primary,"LINESTRING (594435.5100000001 2931894.729999999, 594396.54 2931783.439999999)"
2565,3,OH,Primary,"LINESTRING (594396.54 2931783.439999999, 594353.51 2931664.66)"
2566,3,UG,Primary,"LINESTRING (593883.8 2931363.89, 593849.1663193833 2931499.325380735)"
2567,3,UG,Primary,"LINESTRING (593849.1663193833 2931499.325380735, 593800.52 2931581.3599999994)"
2568,3,UG,Primary,"LINESTRING (593883.8 2931363.89, 593846.7466 2931454.9425999997)"
2569,3,UG,Primary,"LINESTRING (594276.09125429 2931468.3165894393, 594224.91 2931484.8200000003)"
2570,3,UG,Primary,"LINESTRING (594353.51 2931664.66, 594280.1883105648 2931466.6195331644)"
2571,3,UG,Primary,"LINESTRING (594280.1883105648 2931466.6195331644, 594257.4364166021 2931370.5559808775)"
2572,3,UG,Primary,"LINESTRING (594257.4364166021 2931370.5559808775, 594234.6845226395 2931296.296326972)"
2573,3,UG,Primary,"LINESTRING (594234.6845226395 2931296.296326972, 594221.4125844947 2931252.6885302104)"
2574,3,UG,Primary,"LINESTRING (594221.4125844947 2931252.6885302104, 594215.724611004 2931238.4685964836)"
2575,3,UG,Primary,"LINESTRING (594215.724611004 2931238.4685964836, 594193.6047140958 2931213.8207113566)"
2576,3,UG,Primary,"LINESTRING (594193.6047140958 2931213.8207113566, 594172.7488112967 2931192.9648085576)"
2577,3,UG,Primary,"LINESTRING (594172.7488112967 2931192.9648085576, 594152.8409040793 2931176.8488836675)"
2578,3,UG,Primary,"LINESTRING (594152.8409040793 2931176.8488836675, 594123.4530410443 2931159.784963195)"
2579,3,UG,Primary,"LINESTRING (594123.4530410443 2931159.784963195, 594087.745207464 2931149.6730103237)"
2580,3,UG,Primary,"LINESTRING (594087.745207464 2931149.6730103237, 594046.0334018657 2931143.985036833)"
2581,3,UG,Primary,"LINESTRING (594046.0334018657 2931143.985036833, 593996.3199999998 2931152.1000000006)"
2582,3,UG,Primary,"LINESTRING (593996.3199999998 2931152.1000000006, 593954.7098274878 2931185.3808439034)"
2583,3,UG,Primary,"LINESTRING (593954.7098274878 2931185.3808439034, 593927.2179556163 2931211.9247201933)"
2584,3,UG,Primary,"LINESTRING (593927.2179556163 2931211.9247201933, 593907.310048399 2931234.676614156)"
2585,3,UG,Primary,"LINESTRING (593907.310048399 2931234.676614156, 593892.1421190904 2931270.700446264)"
2586,3,UG,Primary,"LINESTRING (593892.1421190904 2931270.700446264, 593888.4757752575 2931296.5714194207)"
2587,3,UG,Primary,"LINESTRING (593888.4757752575 2931301.371419421, 593883.8 2931363.89)"
2588,3,UG,Primary,"LINESTRING (593800.52 2931581.3599999994, 593790.72355 2931577.80405)"
2597,3,OH,Primary,"LINESTRING (590433.47 2931537.42, 590507.6699999998 2931693.5399999996)"
2598,3,OH,Primary,"LINESTRING (590388.5900000001 2931435.41, 590433.47 2931537.42)"
2599,3,OH,Primary,"LINESTRING (590351.5599999999 2931312.0999999996, 590388.5900000001 2931435.41)"
2600,3,UG,Primary,"LINESTRING (588572.5 2933679.8, 588823.9488679523 2933696.4905666085)"
2601,3,OH,Primary,"LINESTRING (586240.1899999998 2935065.4799999995, 586051.99 2935032.64)"
2602,3,OH,Primary,"LINESTRING (586421.0799999998 2935097.33, 586240.1899999998 2935065.4799999995)"
2603,3,OH,Primary,"LINESTRING (586599.4899999999 2935126.89, 586421.0799999998 2935097.33)"
2604,3,OH,Primary,"LINESTRING (586716.08 2935322.6600000006, 586599.4899999999 2935126.89)"
2605,3,OH,Primary,"LINESTRING (586839.58 2935524.119999999, 586716.08 2935322.6600000006)"
2606,3,OH,Primary,"LINESTRING (586937.7899999998 2935684.92, 586839.58 2935524.119999999)"
2607,3,OH,Primary,"LINESTRING (587054.5899999999 2935749.5899999994, 586937.7899999998 2935684.92)"
2608,3,OH,Primary,"LINESTRING (586462.7599999999 2938530.2699999996, 586486.74 2938669.850000001)"
2609,3,OH,Primary,"LINESTRING (586444.11 2938419.2299999995, 586462.7599999999 2938530.2699999996)"
2610,3,OH,Primary,"LINESTRING (586403.61 2938181.83, 586444.11 2938419.2299999995)"
2611,3,OH,Primary,"LINESTRING (586366.94 2937965.4699999997, 586403.61 2938181.83)"
2612,3,OH,Primary,"LINESTRING (586328.5399999999 2937739.5899999994, 586366.94 2937965.4699999997)"
2613,3,OH,Primary,"LINESTRING (586305.15 2937602.8899999997, 586328.5399999999 2937739.5899999994)"
2614,3,OH,Primary,"LINESTRING (586287.79 2937500.5499999993, 586305.15 2937602.8899999997)"
2615,3,OH,Primary,"LINESTRING (586270.26 2937397.37, 586287.79 2937500.5499999993)"
2616,3,OH,Primary,"LINESTRING (586249.5999999999 2937276.8499999996, 586270.26 2937397.37)"
2617,3,OH,Primary,"LINESTRING (586234.49 2937186.8999999994, 586249.5999999999 2937276.8499999996)"
2618,3,OH,Primary,"LINESTRING (586211.14 2937079.5400000005, 586234.49 2937186.8999999994)"
2619,3,OH,Primary,"LINESTRING (586178.5599999998 2936991.939999999, 586211.14 2937079.5400000005)"
2620,3,OH,Primary,"LINESTRING (586123.8700000002 2936865.68, 586178.5599999998 2936991.939999999)"
2621,3,OH,Primary,"LINESTRING (586052.56 2936761.17, 586123.8700000002 2936865.68)"
2622,3,OH,Primary,"LINESTRING (583891.14 2938485.2000000007, 583800.06 2938609.6299999994)"
2623,3,OH,Primary,"LINESTRING (583990.08 2938345.619999999, 583891.14 2938485.2000000007)"
2624,3,OH,Primary,"LINESTRING (584089.2800000001 2938196.8, 583990.08 2938345.619999999)"
2625,3,OH,Primary,"LINESTRING (584185.75 2938053.63, 584089.2800000001 2938196.8)"
2626,3,OH,Primary,"LINESTRING (584288.0499999998 2937914.9299999997, 584185.75 2938053.63)"
2627,3,OH,Primary,"LINESTRING (584392.9800000001 2937769.99, 584288.0499999998 2937914.9299999997)"
2628,3,OH,Primary,"LINESTRING (584509.6399999999 2937651.359999999, 584392.9800000001 2937769.99)"
2629,3,OH,Primary,"LINESTRING (584638.6099999999 2937542.3799999994, 584509.6399999999 2937651.359999999)"
2630,3,OH,Primary,"LINESTRING (584773.1999999998 2937428.76, 584638.6099999999 2937542.3799999994)"
2631,3,OH,Primary,"LINESTRING (584911.2500000002 2937314.6799999997, 584773.1999999998 2937428.76)"
2632,3,OH,Primary,"LINESTRING (585040.3300000001 2937206.8499999996, 584911.2500000002 2937314.6799999997)"
2633,3,OH,Primary,"LINESTRING (585182.4099999999 2937110.97, 585040.3300000001 2937206.8499999996)"
2634,3,OH,Primary,"LINESTRING (585336.91 2937008.7199999997, 585182.4099999999 2937110.97)"
2635,3,OH,Primary,"LINESTRING (585490.167573981 2936907.2440424655, 585486.7753032593 2936909.4901560554)"
2636,3,OH,Primary,"LINESTRING (585636.01 2936811.2099999995, 585490.167573981 2936907.2440424655)"
2637,3,OH,Primary,"LINESTRING (585776.97 2936793.96, 585636.01 2936811.2099999995)"
2638,3,OH,Primary,"LINESTRING (585914.31 2936777.64, 585776.97 2936793.96)"
2639,3,OH,Primary,"LINESTRING (586052.56 2936761.17, 585914.31 2936777.64)"
2640,3,OH,Primary,"LINESTRING (586157.8299999998 2936713.3199999994, 586052.56 2936761.17)"
2641,3,OH,Primary,"LINESTRING (586283.2099999998 2936658.5599999996, 586157.8299999998 2936713.3199999994)"
2642,3,OH,Primary,"LINESTRING (586396.3999999997 2936608.319999999, 586283.2099999998 2936658.5599999996)"
2643,3,OH,Primary,"LINESTRING (586509.88 2936559.62, 586396.3999999997 2936608.319999999)"
2644,3,OH,Primary,"LINESTRING (586603.2800000003 2936502.7499999995, 586509.88 2936559.62)"
2645,3,OH,Primary,"LINESTRING (586706.37 2936417.5599999996, 586603.2800000003 2936502.7499999995)"
2646,3,OH,Primary,"LINESTRING (586773.5200000001 2936346.0899999994, 586706.37 2936417.5599999996)"
2647,3,OH,Primary,"LINESTRING (586839.3899999999 2936284.21, 586773.5200000001 2936346.0899999994)"
2648,3,OH,Primary,"LINESTRING (586929.3399999999 2936184.2799999993, 586839.3899999999 2936284.21)"
2649,3,OH,Primary,"LINESTRING (586989.1199999998 2936118.1799999992, 586929.3399999999 2936184.2799999993)"
2650,3,OH,Primary,"LINESTRING (587029.66 2936001.51, 586989.1199999998 2936118.1799999992)"
2651,3,OH,Primary,"LINESTRING (587057.98 2935881.8299999996, 587029.66 2936001.51)"
2652,3,OH,Primary,"LINESTRING (587054.5899999999 2935749.5899999994, 587057.98 2935881.8299999996)"
2653,3,OH,Primary,"LINESTRING (587124.46 2935654.069999999, 587054.5899999999 2935749.5899999994)"
2654,3,OH,Primary,"LINESTRING (587234.05 2935588.64, 587124.46 2935654.069999999)"
2655,3,OH,Primary,"LINESTRING (587357.0400000002 2935589.92, 587234.05 2935588.64)"
2656,3,OH,Primary,"LINESTRING (587459.53 2935636.08, 587357.0400000002 2935589.92)"
2657,3,OH,Primary,"LINESTRING (587551.67 2935711.9399999995, 587459.53 2935636.08)"
2658,3,OH,Primary,"LINESTRING (587659.4499999998 2935755.64, 587659.1683991164 2935755.525823357, 587654.8330235998 2935753.7680212595)"
2659,3,OH,Primary,"LINESTRING (587775.1999999998 2935791.9399999995, 587659.4499999998 2935755.64)"
2660,3,OH,Primary,"LINESTRING (587862.29 2935866.159999999, 587775.1999999998 2935791.9399999995)"
2661,3,OH,Primary,"LINESTRING (587935.8299999998 2935927.21, 587862.29 2935866.159999999)"
2662,3,OH,Primary,"LINESTRING (588092.9599999998 2936221.859999999, 588092.9704712399 2936221.987882803, 588102.8299999998 2936342.399999999)"
