Parameter,%change in benefit resulted from +%10 change in parameter,%change in benefit resulted from -%10 change in parameter
service_area,"0   -0.0
dtype: float64","0   -0.0
dtype: float64"
SAIDI,"0    9.977988
dtype: float64","0   -9.977988
dtype: float64"
USD_per_Customer_Hour_Interruption_Residential,"0    0.003427
dtype: float64","0   -0.003427
dtype: float64"
USD_per_Customer_Hour_Interruption_Commercial,"0    1.285066
dtype: float64","0   -1.285066
dtype: float64"
