year,net_benefit,under_prop,,
0,-36677.25265,0.33837619,-36677.25265,1
1,-118663366,0.37404918,-107875787.3,1.1
2,-116414174.4,0.378199284,-96210061.49,1.21
3,-110665869,0.385538933,-83144905.33,1.331
4,-108632142.2,0.39910371,-74197214.81,1.4641
5,-105632620.5,0.417152269,-65589546.48,1.61051
6,-101684167.1,0.433349321,-57398061.43,1.771561
7,-97780339.74,0.446035945,-50176775.14,1.9487171
8,-93824813.17,0.467324462,-43769967.79,2.14358881
9,-89883582.84,0.492364895,-38119413.41,2.357947691
10,-85440099.23,0.513576576,-32940856.91,2.59374246
11,-80742532.88,0.542448616,-28299765.2,2.853116706
12,-76303530.59,0.578998983,-24312656.34,3.138428377
13,-71034174.57,0.615292645,-20576070.12,3.452271214
14,-66681007.25,0.655923808,-17559193.28,3.797498336
15,-62363796.98,0.689622296,-14929397.17,4.177248169
16,-59445429.18,0.72478963,-12937057.38,4.594972986
17,-58049633.75,0.766852279,-11484810.57,5.054470285
18,-55821812.9,0.797175644,-10040043.72,5.559917313
19,-56769054.15,0.841066015,-9282193.985,6.115909045
20,-56198200.67,0.871742495,-8353504.436,6.727499949
21,-56557692.4,0.892009613,-7642673.265,7.400249944
22,-58892912.36,0.917887561,-7234757.155,8.140274939
23,-59837111.19,0.938305423,-6682498.345,8.954302433
24,-61623132.93,0.957234652,-6256325.421,9.849732676
25,-63164497.7,0.971948227,-5829830.366,10.83470594
26,-64208795.55,0.982712451,-5387468.069,11.91817654
27,-65381567.38,0.989885838,-4987154.566,13.10999419
28,-65668587.73,0.992727256,-4553679.83,14.42099361
29,-66302929.68,0.994802794,-4179697.478,15.86309297
30,-66623083.9,0.997746119,-3818072.555,17.44940227
npv,,0.997746119,-863806116.6,
