strategy,net benefit,under_prop
I_NN,-1152947245,0.668061154
I_NC,-1158707526,0.668061154
I_NA,-1169266246,0.669219015
I_CN,-861564797.1,0.668061154
I_AN,-585986275.6,0.669219015
J_CC,-863806116.6,0.997746119
I_CC,-867325078.5,0.997746119
J_AA,-594023052.2,1
I_AA,-602305276.6,1
