year,net benefit,under_prop,,
0,-36677.25265,0.33837619,-36677.25265,1
1,-122038091.6,0.356212685,-110943719.6,1.1
2,-122145528.3,0.358287737,-100946717.6,1.21
3,-122154901.8,0.361957561,-91776785.73,1.331
4,-122190583.8,0.36873995,-83457812.85,1.4641
5,-122213584.3,0.377764229,-75885020.46,1.61051
6,-122230359,0.385862755,-68995851.12,1.771561
7,-122221839,0.392206068,-62719128.91,1.9487171
8,-122298242.7,0.402850326,-57053032.81,2.14358881
9,-122271202.4,0.415370542,-51854925.73,2.357947691
10,-122293914.4,0.425976383,-47149598.03,2.59374246
11,-122339001.8,0.440412403,-42879073.8,2.853116706
12,-122456790.3,0.458687587,-39018507.23,3.138428377
13,-122412611.7,0.476834417,-35458573.24,3.452271214
14,-122552883.3,0.497149999,-32272004.48,3.797498336
15,-122428870.6,0.513999243,-29308498.23,4.177248169
16,-122498228.2,0.53158291,-26659183.54,4.594972986
17,-122598752.4,0.552614234,-24255509.58,5.054470285
18,-122497306.1,0.567775917,-22032217.24,5.559917313
19,-122684756.2,0.589721102,-20059937.99,6.115909045
20,-122585135.1,0.605059343,-18221499.22,6.727499949
npv,,0.605059343,-1040984275,
