Parameter,%change in cost resulted from +%10 change in parameter,%change in cost resulted from -%10 change in parameter
cost(rep)BO,27.765632,-27.765632
cost(rep)BU,27.554089,-27.554089
p(oam),26.486879,-26.486879
age(scale),10.620109,-8.963695
age(shape),10.003797,-8.532393
lssU,-6.505061,9.003213
r,-7.135782,8.587644
lssO,-6.241388,8.165251
len(scale),6.305768,-6.305768
len(shape),3.315017,-2.848466
cost(rep)EO,3.036224,-3.036224
cost(rep)EU,2.664323,-2.664323
