year,capex_el,opex_el,lifecycle_infrastructure_el,environmental_restoration_el,non_fatal_el,fatal_el,safety_el,total_cost_el,capex_br,opex_br,lifecycle_infrastructure_br,environmental_restoration_br,non_fatal_br,fatal_br,safety_br,total_cost_br
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1883489.6148519819,33157.34847559871,1917310.1102970925,9678.248348118617,31201.929428908054,30401.879956371948,61603.80938528,1988592.168030491,39917.86505275429,13050.990033454991,53229.87488687838,9678.248348118617,31201.929428908054,30401.879956371948,61603.80938528,124511.932620277
2,212745.5380296188,33820.49544511068,240078.7181832272,10804.190729491267,31212.23387775503,30411.920188581822,61624.15406633685,312507.06297905534,6815.143844592494,13312.009834124092,21056.838853855563,10804.190729491267,31212.23387775503,30411.920188581822,61624.15406633685,93485.18364968368
3,377257.56071075663,26797.23544471414,406056.22987771215,12795.471785534577,34502.754176405724,33618.0681718825,68120.82234828823,486972.524011535,8159.856391920552,13962.446087512815,22746.969490125513,12795.471785534577,34502.754176405724,33618.0681718825,68120.82234828823,103663.26362394831
4,712318.1664641883,27333.180153608424,743481.3501747957,16475.658998124865,34885.564797476225,33991.06313600247,68876.6279334787,828833.6371063993,17072.94605792066,14241.69500926307,32059.51339664978,16475.658998124865,34885.564797476225,33991.06313600247,68876.6279334787,117411.80032825335
5,1065754.7071419887,28233.98937936819,1099638.2892125342,21372.31700755625,35562.58304494688,34650.72194123029,70213.30498617716,1191223.9112062675,22329.83445858802,14301.091272749964,37838.510832673215,21372.31700755625,35562.58304494688,34650.72194123029,70213.30498617716,129424.13282640663
6,913999.5825111368,28798.66916695556,948223.1009771312,25766.652538054805,36813.81470281368,35869.87073607487,72683.68543888855,1046673.4389540745,28741.48932144676,14587.113098204962,44884.09120572369,25766.652538054805,36813.81470281368,35869.87073607487,72683.68543888855,143334.42918266705
7,756703.2242219952,30552.14089275246,791295.4209501435,29208.592816854136,38478.63585598409,37492.004167369116,75970.6400233532,896474.6537903508,27233.58247748176,14692.71307718541,44000.682432039255,29208.592816854136,38478.63585598409,37492.004167369116,75970.6400233532,149179.9152722466
8,1122276.457741543,31163.18371060751,1159537.1210151317,34984.26660654866,39972.67173335425,38947.73143249901,78920.40316585325,1273441.7907875336,48726.41130647459,14986.567338729119,66036.68638757536,34984.26660654866,39972.67173335425,38947.73143249901,78920.40316585325,179941.35615997727
9,1406907.109536761,33219.19810837799,1447094.9474330642,41777.8525573888,41142.90150497758,40087.95531254225,81230.85681751983,1570103.6568079728,36539.63523901239,15204.58468047568,54583.671716837605,41777.8525573888,41142.90150497758,40087.95531254225,81230.85681751983,177592.38109174624
10,1383591.4497705037,33883.582070545555,1425146.5759940597,47532.6803674419,43106.58038154506,42001.28344868493,85107.86383023,1557787.1201917315,46158.986539946556,15508.676374085193,65053.930491498,47532.6803674419,43106.58038154506,42001.28344868493,85107.86383023,197694.4746891699
11,1832198.6659069888,33552.46908430832,1877364.6443278014,55365.79910854252,45416.34054348731,44251.8189910902,89668.15953457751,2022398.6029709214,56810.98176461452,15826.080278702877,76473.42362265526,55365.79910854252,45416.34054348731,44251.8189910902,89668.15953457751,221507.3822657753
