year,capex_el,opex_el,lifecycle_infrastructure_el,environmental_restoration_el,non_fatal_el,fatal_el,safety_el,total_cost_el,capex_br,opex_br,lifecycle_infrastructure_br,environmental_restoration_br,non_fatal_br,fatal_br,safety_br,total_cost_br
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1883489.6148519819,0.0,1883489.6148519819,14671.96564215159,109759.50718175338,45602.81993455793,155362.3271163113,2053523.9076104448,215267.23254429508,0.0,215267.23254429508,14671.96564215159,109759.50718175338,45602.81993455792,155362.3271163113,385301.525302758
2,212745.5380296188,0.0,212745.5380296188,16378.86417795463,109795.75529999236,45617.880282872735,155413.6355828651,384538.0377904385,27622.82957967418,0.0,27622.82957967418,16378.86417795463,109759.50718175338,45602.81993455792,155362.3271163113,199364.0208739401
3,377257.56071075663,0.0,377257.56071075663,19397.593000284774,121370.86917794513,50427.10225782375,171797.97143576888,568453.1251468103,45695.1957947551,0.0,45695.1957947551,19397.593000284774,109759.50718175338,45602.81993455792,155362.3271163113,220455.11591135117
4,712318.1664641883,0.0,712318.1664641883,24976.658384601626,122717.48798907899,50986.59470400371,173704.0826930827,910998.9075418726,87831.32403010305,0.0,87831.32403010305,24976.658384601626,109759.50718175338,45602.81993455792,155362.3271163113,268170.309531016
5,1065754.7071419887,0.0,1065754.7071419887,32399.86096130648,125099.04549387185,51976.082911845435,177075.1284057173,1275229.6965090125,118360.04960292879,0.0,118360.04960292879,32399.86096130648,109759.50718175338,45602.81993455792,155362.3271163113,306122.2376805466
6,913999.5825111368,0.0,913999.5825111368,39061.556095022905,129500.52234646773,53804.8061041123,183305.32845058004,1136366.4670567396,116644.04761924059,0.0,116644.04761924059,39061.556095022905,109759.50718175338,45602.81993455792,155362.3271163113,311067.93083057477
7,756703.2242219952,0.0,756703.2242219952,44279.44549984462,135356.8893296084,56238.00625105367,191594.89558066207,992577.5653025019,97461.82540365722,0.0,97461.82540365722,44279.44549984462,109759.50718175338,45602.81993455792,155362.3271163113,297103.59801981313
8,1122276.457741543,0.0,1122276.457741543,53035.2124893481,140612.48232060074,58421.597148748515,199034.07946934926,1374345.7497002403,168928.30235980646,0.0,168928.30235980646,53035.2124893481,109759.50718175338,45602.81993455792,155362.3271163113,377325.84196546586
9,1406907.109536761,0.0,1406907.109536761,63334.107090157384,144729.01759177507,60131.93296881338,204860.95056058845,1675102.1671875066,180753.79036962474,0.0,180753.79036962474,63334.107090157384,109759.50718175338,45602.81993455792,155362.3271163113,399450.22457609343
10,1383591.4497705037,0.0,1383591.4497705037,72058.27213206924,151636.68098632077,63001.9251730274,214638.6061593482,1670288.3280619213,170765.66544054286,0.0,170765.66544054286,72058.27213206924,109759.50718175338,45602.81993455792,155362.3271163113,398186.2646889234
11,1832198.6659069888,0.0,1832198.6659069888,83933.070639659,159761.75984275676,66377.7284866353,226139.48832939204,2142271.2248760397,229810.0918784988,0.0,229810.0918784988,83933.070639659,109759.50718175338,45602.81993455792,155362.3271163113,469105.4896344691
12,2461111.755659593,0.0,2461111.755659593,98965.8932253831,166644.49159889342,69237.36210737683,235881.85370627025,2795959.502591246,316136.748008726,0.0,316136.748008726,98965.8932253831,109759.50718175338,45602.81993455792,155362.3271163113,570464.9683504204
13,2290245.2428804846,0.0,2290245.2428804846,113893.13506503626,176012.8440307043,73129.72004520815,249142.56407591244,2653280.9420214333,302899.73640716297,0.0,302899.73640716297,113893.13506503626,109759.50718175338,45602.81993455792,155362.3271163113,572155.1985885105
14,2937463.2777847257,0.0,2937463.2777847257,130604.35032074782,187872.64779393736,78057.22481778623,265929.8726117236,3333997.500717197,380645.0704356826,0.0,380645.0704356826,130604.35032074782,109759.50718175338,45602.81993455792,155362.3271163113,666611.7478727417
15,2387670.243304175,0.0,2387670.243304175,144464.2216067766,199649.1560268445,82950.12200904095,282599.2780358855,2814733.742946837,301007.4906231752,0.0,301007.4906231752,144464.2216067766,109759.50718175338,45602.81993455792,155362.3271163113,600834.0393462632
16,2500503.3250527945,0.0,2500503.3250527945,158928.2158787025,212833.0895461626,88427.77548752337,301260.865033686,2960692.4059651834,337659.6994826075,0.0,337659.6994826075,158928.2158787025,109759.50718175338,45602.81993455792,155362.3271163113,651950.2424776213
17,3303634.7010699245,0.0,3303634.7010699245,176228.1876889773,223767.52003641985,92970.80667942212,316738.326715842,3796601.215474744,418613.5896230313,0.0,418613.5896230313,176228.1876889773,109759.50718175338,45602.81993455792,155362.3271163113,750204.10442832
18,2253852.8541938164,0.0,2253852.8541938164,188699.9029326881,235178.55962791143,97711.85915968881,332890.41878760024,2775443.1759141046,315078.5995419308,0.0,315078.5995419308,188699.9029326881,109759.50718175338,45602.81993455792,155362.3271163113,659140.8295909301
19,3491666.0077399854,0.0,3491666.0077399854,206751.59997965282,248826.97925166,103382.4970704662,352209.47632212617,4050627.0840417645,469909.23581342865,0.0,469909.23581342865,206751.59997965282,109759.50718175338,45602.81993455792,155362.3271163113,832023.1629093927
20,2599412.5369738145,0.0,2599412.5369738145,219368.5478848534,258666.25557770373,107470.51420997393,366136.7697876777,3184917.8546463456,354997.04653453594,0.0,354997.04653453594,219368.5478848534,109759.50718175338,45602.81993455792,155362.3271163113,729727.9215357007
21,1711625.6957497234,0.0,1711625.6957497234,227704.2229359748,272907.7317442388,113387.55492836342,386295.28667260223,2325625.2053583004,259634.3933616819,0.0,259634.3933616819,227704.2229359748,109759.50718175338,45602.81993455792,155362.3271163113,642700.943413968
22,2402478.320929119,0.0,2402478.320929119,238347.5797754044,282861.5860782023,117523.1768758535,400384.7629540558,3041210.663658579,324616.4566305039,0.0,324616.4566305039,238347.5797754044,109759.50718175338,45602.81993455792,155362.3271163113,718326.3635222196
