Strategy,lifecycle_infrastructure_el,environmental_restoration_el,safety_el,total_cost_el,lifecycle_infrastructure_br,environmental_restoration_br,safety_br,total_cost_br
S9,"0    4.849814e+06
Name: lifecycle_infrastructure_el, dtype: float64","0    314891.724278
Name: environmental_restoration_el, dtype: float64","0    1.588146e+06
Name: safety_el, dtype: float64","0    6.752851e+06
Name: total_cost_el, dtype: float64","0    5.464068e+06
Name: lifecycle_infrastructure_br, dtype: float64","0    314891.724278
Name: environmental_restoration_br, dtype: float64","0    1.588146e+06
Name: safety_br, dtype: float64","0    7.367105e+06
Name: total_cost_br, dtype: float64"
S10,"0    3.259268e+07
Name: lifecycle_infrastructure_el, dtype: float64","0    933516.818577
Name: environmental_restoration_el, dtype: float64","0    4.433125e+06
Name: safety_el, dtype: float64","0    3.795932e+07
Name: total_cost_el, dtype: float64","0    5.739261e+06
Name: lifecycle_infrastructure_br, dtype: float64","0    933516.818577
Name: environmental_restoration_br, dtype: float64","0    4.433125e+06
Name: safety_br, dtype: float64","0    1.110590e+07
Name: total_cost_br, dtype: float64"
S11,"0    4.849814e+06
Name: lifecycle_infrastructure_el, dtype: float64","0    314891.724278
Name: environmental_restoration_el, dtype: float64","0    1.588146e+06
Name: safety_el, dtype: float64","0    6.752851e+06
Name: total_cost_el, dtype: float64","0    5.464068e+06
Name: lifecycle_infrastructure_br, dtype: float64","0    314891.724278
Name: environmental_restoration_br, dtype: float64","0    1.588146e+06
Name: safety_br, dtype: float64","0    7.367105e+06
Name: total_cost_br, dtype: float64"
S12,"0    3.259268e+07
Name: lifecycle_infrastructure_el, dtype: float64","0    933516.818577
Name: environmental_restoration_el, dtype: float64","0    4.433125e+06
Name: safety_el, dtype: float64","0    3.795932e+07
Name: total_cost_el, dtype: float64","0    3.014500e+06
Name: lifecycle_infrastructure_br, dtype: float64","0    933516.818577
Name: environmental_restoration_br, dtype: float64","0    4.433125e+06
Name: safety_br, dtype: float64","0    8.381141e+06
Name: total_cost_br, dtype: float64"
S13,"0    1.465465e+07
Name: lifecycle_infrastructure_el, dtype: float64","0    933516.818577
Name: environmental_restoration_el, dtype: float64","0    4.433125e+06
Name: safety_el, dtype: float64","0    2.002129e+07
Name: total_cost_el, dtype: float64","0    3.331595e+06
Name: lifecycle_infrastructure_br, dtype: float64","0    933516.818577
Name: environmental_restoration_br, dtype: float64","0    4.433125e+06
Name: safety_br, dtype: float64","0    8.698237e+06
Name: total_cost_br, dtype: float64"
