Strategy,lifecycle_infrastructure_el,environmental_restoration_el,safety_el,total_cost_el,lifecycle_infrastructure_br,environmental_restoration_br,safety_br,total_cost_br,total
S1,1.57E+06,0,166163.9991,1.73E+06,1.98E+07,0,166163.9991,2.00E+07,2.17E+07
S2,1.57E+06,0,166163.9991,1.73E+06,7.37E+07,314891.7243,1.59E+06,7.56E+07,7.73E+07
S3,1.57E+06,0,166163.9991,1.73E+06,2.72E+07,933516.8186,4.43E+06,3.26E+07,3.43E+07
S4,1.33E+07,314891.7243,1.59E+06,1.52E+07,1.98E+07,0,166163.9991,2.00E+07,3.52E+07
S5,1.57E+06,0,166163.9991,1.73E+06,2.72E+07,933516.8186,4.43E+06,3.26E+07,3.43E+07
S6,1.36E+07,314891.7243,1.59E+06,1.55E+07,3.18E+07,314891.7243,1.59E+06,3.37E+07,4.92E+07
S7,1.33E+07,314891.7243,1.59E+06,1.52E+07,7.37E+07,314891.7243,1.59E+06,7.56E+07,9.08E+07
S8,1.36E+07,314891.7243,1.59E+06,1.55E+07,3.18E+07,314891.7243,1.59E+06,3.37E+07,4.92E+07
S9,1.33E+07,314891.7243,1.59E+06,1.52E+07,7.37E+07,314891.7243,1.59E+06,7.56E+07,9.08E+07
S10,3.22E+07,933516.8186,4.43E+06,3.75E+07,1.57E+07,933516.8186,4.43E+06,2.10E+07,5.85E+07
S11,3.15E+07,933516.8186,4.43E+06,3.69E+07,4.56E+07,933516.8186,4.43E+06,5.10E+07,8.79E+07
S12,3.22E+07,933516.8186,4.43E+06,3.75E+07,1.57E+07,933516.8186,4.43E+06,2.10E+07,5.85E+07
S13,3.15E+07,933516.8186,4.43E+06,3.69E+07,4.56E+07,933516.8186,4.43E+06,5.10E+07,8.79E+07
