year,capex_el,opex_el,lifecycle_infrastructure_el,environmental_restoration_el,non_fatal_el,fatal_el,safety_el,total_cost_el,capex_br,opex_br,lifecycle_infrastructure_br,environmental_restoration_br,non_fatal_br,fatal_br,safety_br,total_cost_br
0,0.0,23794.9630763969,23794.9630763969,0.0,0.0,0.0,0.0,23794.9630763969,0.0,12882.289573324784,12882.289573324784,0.0,0.0,0.0,0.0,12882.289573324784
1,12897779.925439494,24270.86233792484,12922050.787777418,83694.27454152468,286970.6662664321,108248.66648799491,395219.332754427,13400964.39507337,899043.519586175,13139.935364791281,912183.4549509663,83694.27454152468,286970.6662664321,108248.66648799491,395219.332754427,1391097.062246918
2,677079.9010769424,24756.279584683336,701836.1806616258,87606.31454621578,301693.5921200906,113802.32502458028,415495.9171446709,1204938.4123525126,3171.9500376241276,13402.734072087107,16574.684109711234,87606.31454621578,301693.5921200906,113802.32502458028,415495.9171446709,519676.9158005979
3,564656.9964101727,25251.405176377004,589908.4015865497,90692.938352072,312624.2491932614,117925.4957562876,430549.744949549,1111151.0848881707,0.0,13670.788753528848,13670.788753528848,90692.938352072,312624.2491932614,117925.4957562876,430549.744949549,534913.4720551498
4,570210.2751826354,25756.433279904544,595966.7084625401,93554.52148552075,322662.6077298467,121712.08112214124,444374.688851988,1133895.9188000488,3238.8309086556906,13944.204528599426,17183.035437255116,93554.52148552075,322662.6077298467,121712.08112214124,444374.688851988,555112.2457747639
5,480985.2776865259,26271.561945502635,507256.83963202854,95778.8128592225,330693.294559115,124741.34941482417,455434.64397393924,1058470.2964651901,3276.275245312549,14223.088619171414,17499.363864483963,95778.8128592225,330693.294559115,124741.34941482417,455434.64397393924,568712.8206976457
6,371031.75204174523,26796.993184412688,397828.74522615795,97406.06993506347,335377.8618761882,126508.42258555589,461886.2844617441,957121.0996229654,25539.572818001114,14507.550391554842,40047.12320955595,97406.06993506347,335377.8618761882,126508.42258555589,461886.2844617441,599339.4776063635
7,248308.31389307184,27332.93304810094,275641.24694117275,98490.4903165845,338947.05602252966,127854.76404897052,466801.8200715002,840933.5573292575,37328.223329565975,14797.701399385938,52125.92472895192,98490.4903165845,338947.05602252966,127854.76404897052,466801.8200715002,617418.2351170366
8,217800.28787390946,27879.59170906296,245679.87958297244,98920.03521389423,340954.7277298467,128612.08112214124,469566.808851988,814166.7236488546,82922.38940079234,15093.655427373658,98016.04482816599,98920.03521389423,340954.7277298467,128612.08112214124,469566.808851988,666502.8888940482
9,155994.89469317335,28437.183543244217,184432.07823641758,99233.7999976724,342739.3248030175,129285.25185384856,472024.57665686606,755690.454890956,22402.21207046076,15395.52853592113,37797.740606381885,99233.7999976724,342739.3248030175,129285.25185384856,472024.57665686606,609056.1172609203
