year,capex_el,opex_el,lifecycle_infrastructure_el,environmental_restoration_el,non_fatal_el,fatal_el,safety_el,total_cost_el,capex_br,opex_br,lifecycle_infrastructure_br,environmental_restoration_br,non_fatal_br,fatal_br,safety_br,total_cost_br
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,28583614.152889483,159190.35794178036,28745988.317990102,150203.32471052295,31201.929428908054,30401.879956371948,61603.80938528,28957795.452085905,6993061.576617082,43757.841168346386,7037694.574608794,150203.32471052295,31201.929428908054,30401.879956371948,61603.80938528,7249501.708704597
2,1508995.4794290152,162374.16510061597,1558304.5697849086,157224.13250560858,31212.23387775503,30411.920188581822,61624.15406633685,1777152.856356854,370381.63795264944,44632.99799171332,394746.0698941187,157224.13250560858,31212.23387775503,30411.920188581822,61624.15406633685,613594.3564660641
3,1156627.189911015,48342.245446954454,1205876.699660757,162763.59336251856,82280.05845789984,80170.31336923575,162450.3718271356,1531090.6648504112,282932.2871602287,23886.697981832633,307787.9606115008,162763.59336251856,82280.05845789984,80170.31336923575,162450.3718271356,633001.9258011549
4,1033957.379153565,49309.09035589354,1084099.072495883,167899.18122601457,84667.07207148886,82496.12150555325,167163.1935770421,1419161.4472989398,253849.8073421604,24364.431941469287,279375.79603296414,167899.18122601457,84667.07207148886,82496.12150555325,167163.1935770421,614438.1708360208
5,845492.8420407518,48283.833087982435,896248.9341285176,171891.04281135133,86550.44060447207,84331.19853769073,170881.6391421628,1239021.6160820317,207618.28088052484,24368.307305168684,233758.51600053158,171891.04281135133,86550.44060447207,84331.19853769073,170881.6391421628,576531.1979540457
6,598210.8736157904,49249.50974974209,649104.3361925688,174811.42684346056,88296.49583084187,86032.48311723054,174328.9789480724,998244.7419841017,151602.24650275116,24855.673451272058,178211.40920321178,174811.42684346056,88296.49583084187,86032.48311723054,174328.9789480724,527351.8149947447
7,518147.6529631211,49158.522884625556,569988.9135561985,176757.59995483034,89653.69406584151,87354.88139748659,177008.5754633281,923755.0889743569,133294.1984693169,25025.479108631065,160541.89575870818,176757.59995483034,89653.69406584151,87354.88139748659,177008.5754633281,514308.0711768666
8,204824.38014934154,50141.69334231807,256271.44291163288,177528.48986386886,90646.59924783955,88322.32747225392,178968.92672009347,612768.8594955952,62463.65262512746,25525.988690803686,89999.98208713016,177528.48986386886,90646.59924783955,88322.32747225392,178968.92672009347,446497.39867109247
9,159787.03170752604,49760.87459584887,212293.1907925229,178091.59306248938,91308.28118627578,88967.04320714051,180275.3243934163,570660.1082484286,41925.09908223924,25627.681490202696,70052.50932115929,178091.59306248938,91308.28118627578,88967.04320714051,180275.3243934163,428419.426777065
10,152306.57110584463,50756.09208776585,205736.6964543245,178890.1308256959,91570.37705346949,89222.4186674831,180792.7957209526,565419.623000973,47688.651900909936,26140.23512000675,76364.82305705232,178890.1308256959,91570.37705346949,89222.4186674831,180792.7957209526,436047.7496037008
11,222210.33255374478,49895.55154586103,277173.3956455174,179470.04535001557,91761.82724555474,89408.9598802841,181170.78712583883,637814.2281213718,64860.54835493718,26087.414412216276,94259.43524094125,179470.04535001557,91761.82724555474,89408.9598802841,181170.78712583883,454900.2677167957
12,100441.0636976214,50893.46257677825,155742.11903594754,179518.39695691725,92033.32314280364,89673.4943442702,181706.81748707383,516967.3334799386,48740.20065124188,26609.1627004606,78574.73086783607,179518.39695691725,92033.32314280364,89673.4943442702,181706.81748707383,439799.9453118272
13,50850.52033014238,50824.76528733079,107170.80803326804,179518.39695691725,92230.48903947408,89865.60470512859,182096.09374460267,468785.29873478797,27459.280978276885,26713.428715089496,57872.236337964736,179518.39695691725,92230.48903947408,89865.60470512859,182096.09374460267,419486.72703948466
14,122442.9750216317,51841.2605930774,179889.66847881986,179518.39695691725,92246.92816546667,89881.62231507008,182128.55048053674,541536.6159162739,66119.20651168111,27247.697289391286,97140.42097856272,179518.39695691725,92246.92816546667,89881.62231507008,182128.55048053674,458787.3684160167
15,64685.68059294864,50438.29682577587,123281.30791928057,179518.39695691725,92246.92816546667,89881.62231507008,182128.55048053674,484928.25535673456,34930.26752019227,26996.40143333599,66571.90627641151,179518.39695691725,92246.92816546667,89881.62231507008,182128.55048053674,428218.8537138655
16,100798.56232944959,51447.06276229138,160566.10220230813,179518.39695691725,92246.92816546667,89881.62231507008,182128.55048053674,522213.04963976215,54431.223657902774,27536.329462002708,86705.6951892464,179518.39695691725,92246.92816546667,89881.62231507008,182128.55048053674,448352.6426267004
17,135327.48489996177,51476.62655391848,196290.3755702775,179518.39695691725,92246.92816546667,89881.62231507008,182128.55048053674,557937.3230077315,73076.84184597935,27575.892391098092,105996.80280794985,179518.39695691725,92246.92816546667,89881.62231507008,182128.55048053674,467643.75024540385
18,112955.25225310965,52506.15908499685,175137.40073683168,179518.39695691725,92246.92816546667,89881.62231507008,182128.55048053674,536784.3481742857,60995.83621667921,28127.410238920056,94574.19639788911,179518.39695691725,92246.92816546667,89881.62231507008,182128.55048053674,456221.14383534313
19,175540.41085381276,52382.475831843,238966.20230720926,179518.39695691725,92246.92816546667,89881.62231507008,182128.55048053674,600613.1497446633,94791.82186105891,28113.893290335673,129041.749245893,179518.39695691725,92246.92816546667,89881.62231507008,182128.55048053674,490688.696683347
20,162168.55616091157,53430.125348479865,226862.863443376,179518.39695691725,92246.92816546667,89881.62231507008,182128.55048053674,588509.8108808299,87571.02032689226,28676.171156142387,122505.94625942306,179518.39695691725,92246.92816546667,89881.62231507008,182128.55048053674,484152.89369687706
21,147073.4325264334,53885.35597232608,213061.6259545471,179518.39695691725,92246.92816546667,89881.62231507008,182128.55048053674,574708.5733920011,79419.65356427405,28822.438123533415,115053.27801545545,179518.39695691725,92246.92816546667,89881.62231507008,182128.55048053674,476700.2254529095
22,166496.7066622144,54963.0630917726,233804.66395889036,179518.39695691725,92246.92816546667,89881.62231507008,182128.55048053674,595451.6113963444,89908.22159759578,29398.886886004082,126254.5185378008,179518.39695691725,92246.92816546667,89881.62231507008,182128.55048053674,487901.46597525483
23,214646.1382585233,54216.72091992758,283300.25470113277,179518.39695691725,92246.92816546667,89881.62231507008,182128.55048053674,644947.2021385868,115908.9146596026,29249.539428033524,152982.13753861174,179518.39695691725,92246.92816546667,89881.62231507008,182128.55048053674,514629.08497606573
24,246136.5189613992,55301.055338326136,316163.71773286094,179518.39695691725,92246.92816546667,89881.62231507008,182128.55048053674,677810.665170315,132913.7202391556,29834.530216594194,170728.4075757449,179518.39695691725,92246.92816546667,89881.62231507008,182128.55048053674,532375.3550131989
25,320523.99550733465,55215.968336397695,391951.7382542256,179518.39695691725,92246.92816546667,89881.62231507008,182128.55048053674,753598.6856916796,173082.9575739607,29816.62290165475,211653.93865728183,179518.39695691725,92246.92816546667,89881.62231507008,182128.55048053674,573300.8860947358
26,213266.74207298216,56320.28770312565,286123.0396748109,179518.39695691725,92246.92816546667,89881.62231507008,182128.55048053674,647769.987112265,115164.04071941038,30412.955359687847,154506.4414243979,179518.39695691725,92246.92816546667,89881.62231507008,182128.55048053674,516153.3888618519
27,236748.61366512725,56320.28770312565,311062.0372189926,179518.39695691725,92246.92816546667,89881.62231507008,182128.55048053674,672708.9846564466,127844.25137916872,30412.955359687847,167973.50009825602,179518.39695691725,92246.92816546667,89881.62231507008,182128.55048053674,529620.44753571
28,222937.8760664754,57446.69345718816,298737.568091418,179518.39695691725,92246.92816546667,89881.62231507008,182128.55048053674,660384.515528872,120386.45307589673,31021.214466881607,161318.28676936575,179518.39695691725,92246.92816546667,89881.62231507008,182128.55048053674,522965.23420681973
