year,capex_el,opex_el,lifecycle_infrastructure_el,environmental_restoration_el,non_fatal_el,fatal_el,safety_el,total_cost_el,capex_br,opex_br,lifecycle_infrastructure_br,environmental_restoration_br,non_fatal_br,fatal_br,safety_br,total_cost_br
0,0.0,23794.9630763969,23794.9630763969,0.0,0.0,0.0,0.0,23794.9630763969,0.0,12882.289573324784,12882.289573324784,0,0.0,0.0,0.0,12882.289573324784
1,12897779.925439494,24270.86233792484,12922050.787777418,83694.27454152468,286970.6662664321,108248.66648799491,395219.332754427,13400964.39507337,67890.50743530829,13139.935364791281,81030.44280009957,0,12365.79163228575,4664.520146531495,17030.311778817246,98060.75457891682
2,677079.9010769424,24756.279584683336,701836.1806616258,87606.31454621578,301693.5921200906,113802.32502458028,415495.9171446709,1204938.4123525126,12354.420047589465,13402.734072087107,25757.154119676572,0,12365.79163228575,4664.520146531495,17030.311778817246,42787.46589849382
3,564656.9964101727,25251.405176377004,589908.4015865497,90692.938352072,312624.2491932614,117925.4957562876,430549.744949549,1111151.0848881707,19487.546305421223,13670.788753528848,33158.33505895007,0,12365.79163228575,4664.520146531495,17030.311778817246,50188.646837767315
4,570210.2751826354,25756.433279904544,595966.7084625401,93554.52148552075,322662.6077298467,121712.08112214124,444374.688851988,1133895.9188000488,46457.93461095845,13944.204528599426,60402.139139557876,0,12365.79163228575,4664.520146531495,17030.311778817246,77432.45091837512
5,480985.2776865259,26271.561945502635,507256.83963202854,95778.8128592225,330693.294559115,124741.34941482417,455434.64397393924,1058470.2964651901,72282.27675968825,14223.088619171414,86505.36537885967,0,12365.79163228575,4664.520146531495,17030.311778817246,103535.67715767691
6,371031.75204174523,26796.993184412688,397828.74522615795,97406.06993506347,335377.8618761882,126508.42258555589,461886.2844617441,957121.0996229654,99852.01784190127,14507.550391554842,114359.56823345611,0,12365.79163228575,4664.520146531495,17030.311778817246,131389.88001227335
7,248308.31389307184,27332.93304810094,275641.24694117275,98490.4903165845,338947.05602252966,127854.76404897052,466801.8200715002,840933.5573292575,107176.0524637615,14797.701399385938,121973.75386314743,0,12365.79163228575,4664.520146531495,17030.311778817246,139004.0656419647
8,217800.28787390946,27879.59170906296,245679.87958297244,98920.03521389423,340954.7277298467,128612.08112214124,469566.808851988,814166.7236488546,223570.36466600912,15093.655427373658,238664.0200933828,0,12365.79163228575,4664.520146531495,17030.311778817246,255694.33187220004
9,155994.89469317335,28437.183543244217,184432.07823641758,99233.7999976724,342739.3248030175,129285.25185384856,472024.57665686606,755690.454890956,220925.35798928665,15395.52853592113,236320.88652520778,0,12365.79163228575,4664.520146531495,17030.311778817246,253351.19830402505
