Strategy,lifecycle_infrastructure_el,environmental_restoration_el,safety_el,total_cost_el,lifecycle_infrastructure_br,environmental_restoration_br,safety_br,total_cost_br
S1,1623066.007581148,0.0,1636021.862217955,3259087.8697991027,838321.0367576593,0.0,1515863.3571560173,2354184.393913676
S2,1547044.3701049367,0.0,1516317.3275353492,3063361.697640285,12998311.64389796,856715.4178531081,1515863.3571560173,15370890.418907085
S3,1547044.3701049367,0.0,1516317.3275353492,3063361.697640285,13612752.13730016,856715.4178531081,1515863.3571560173,15985330.912309276
S4,13417867.171679765,856715.4178531081,2294161.760884964,16568744.35041784,838321.0367576593,0.0,1515863.3571560173,2354184.393913676
S5,14555719.937239382,856715.4178531081,2294161.760884964,17706597.11597746,838321.0367576593,0.0,1515863.3571560173,2354184.393913676
S6,13692982.438407296,856715.4178531081,2294161.760884964,16843859.617145367,3994539.278269803,856715.4178531081,1515863.3571560173,6367118.053278929
S7,13417867.171679765,856715.4178531081,2294161.760884964,16568744.35041784,12998311.64389796,856715.4178531081,1515863.3571560173,15370890.418907085
S8,13692982.438407296,856715.4178531081,2294161.760884964,16843859.617145367,1976700.4498948683,856715.4178531081,1515863.3571560173,4349279.224903994
S9,13417867.171679765,856715.4178531081,2294161.760884964,16568744.35041784,5791744.399701762,856715.4178531081,1515863.3571560173,8164323.1747108875
S10,14830835.203966916,856715.4178531081,2294161.760884964,17981712.382704988,4608979.771671999,856715.4178531081,1515863.3571560173,6981558.546681125
S11,14555719.937239382,856715.4178531081,2294161.760884964,17706597.11597746,6406184.893103955,856715.4178531081,1515863.3571560173,8778763.66811308
S12,14830835.203966916,856715.4178531081,2294161.760884964,17981712.382704988,2591140.9432970635,856715.4178531081,1515863.3571560173,4963719.718306189
S13,14555719.937239382,856715.4178531081,2294161.760884964,17706597.11597746,6406184.893103955,856715.4178531081,1515863.3571560173,8778763.66811308
