strategy,net benefit,under_prop
I_NN,-1193338873,0.669219015
I_NC,-1199246644,0.669219015
I_NA,-1209800796,0.669219015
I_CN,-883483239.2,0.669219015
I_AN,-607915452.4,0.669219015
J_CC,-885869044.1,1
I_CC,-889391010.8,1
J_AA,-616095151,1
I_AA,-624377375.4,1
