Strategy,aesthetic_benefit_el,economic_losses_el,aesthetic_benefit_br,economic_loss_br
S1,0.0,71349357.99915598,0.0,34341121.92934307
S2,0.0,72681561.75064509,426999.2092812281,28384554.13674777
S3,0.0,72681561.75064509,766942.4459958057,19023425.66134585
S4,426999.2092812281,59459807.34068577,0.0,34696273.273036934
S5,766942.4459958057,39850167.077984065,0.0,34696273.273036934
S6,426999.2092812281,59459807.34068577,426999.2092812281,28384554.13674777
S10,766942.4459958057,39850167.077984065,766942.4459958057,19023425.66134585
