Strategy,lifecycle_infrastructure,environmental_restoration,safety,total_cost,aesthetic_benefit,avoided_economic_losses,net_benefit
INN,0,0,0,0,0,0,0
INC,21537267.32,1422186.244,832488.95,23791942.51,428482.4443,12674954.17,-10688505.89
INA,31280977.11,2968567.363,1774013.982,36023558.46,766942.446,26721212.68,-8535403.329
ICN,21068116.8,1422186.244,832488.95,23322791.99,428482.4443,26551424.04,3657114.497
IAN,30897813.91,2968567.363,1774013.982,35640395.26,766942.446,55975448.85,21101996.03
JCC,24307815.98,2844372.488,1664977.9,28817166.37,856964.8885,39226378.22,11266176.73
ICC,42605384.12,2844372.488,1664977.9,47114734.51,856964.8885,39226378.22,-7031391.406
JAA,35896399.02,5937134.726,3548027.963,45381561.71,1533884.892,82696661.53,38848984.71
IAA,62178791.02,5937134.726,3548027.963,71663953.71,1533884.892,82696661.53,12566592.71
