Strategy,lifecycle_infrastructure,environmental_restoration,safety,total_cost,aesthetic_benefit,avoided_economic_losses,net_benefit
INN,0,0,0,0,0,0,0
INC,21627916,1422186.244,901875.2447,23951977.49,428482.4443,4647608.036,-18875887.01
INA,31371625.79,2968567.363,1843400.276,36183593.43,766942.446,10890389.6,-24526261.39
ICN,21158765.47,1422186.244,901875.2447,23482826.96,428482.4443,10814927.98,-12239416.54
IAN,30988462.58,2968567.363,1843400.276,35800430.22,766942.446,23892272.34,-11141215.44
JCC,24398464.65,2844372.488,1734364.195,28977201.34,856964.8885,16448240.94,-11671995.51
ICC,42696032.8,2844372.488,1734364.195,47274769.48,856964.8885,16448240.94,-29969563.65
JAA,35987047.7,5937134.726,3617414.257,45541596.68,1533884.892,35768366.86,-8239344.925
IAA,62269439.7,5937134.726,3617414.257,71823988.68,1533884.892,35768366.86,-34521736.92
