Strategy,lifecycle_infrastructure,environmental_restoration,safety,total_cost,aesthetic_benefit,avoided_economic_losses,net_benefit
INN,0,0,0,0,0,0,0
INC,28122963.82,2199731.4,1319032.498,31641727.72,547432.7364,13229297.95,-17864997.03
INA,32115948.6,4003428.946,2460288.818,38579666.36,788899.7734,24363744.85,-13427021.74
ICN,27545512.01,2199731.4,1319032.498,31064275.91,547432.7364,26979976.56,-3536866.611
IAN,31642930.52,4003428.946,2460288.818,38106648.29,788899.7734,49687690.7,12369942.19
JCC,31809844.81,4399462.8,2638064.997,38847372.61,1094865.473,40209274.51,2456767.375
ICC,55668475.83,4399462.8,2638064.997,62706003.63,1094865.473,40209274.51,-21401863.64
JAA,36694844.42,8006857.892,4920577.635,49622279.95,1577799.547,74051435.55,26006955.15
IAA,63758879.12,8006857.892,4920577.635,76686314.65,1577799.547,74051435.55,-1057079.547
