Strategy,lifecycle_infrastructure,environmental_restoration,safety,total_cost,aesthetic_benefit,avoided_economic_losses,net_benefit
INN,0,0,0,0,0,0,0
INC,16898466.99,956295.9871,560910.3628,18415673.34,342654.2826,5606422.01,-12466597.05
INA,30522518.35,2299317.083,1348335.382,34170170.81,746492.3041,13587126.23,-19836552.27
ICN,16514915.15,956295.9871,560910.3628,18032121.5,342654.2826,11433799.05,-6255668.17
IAN,30210783.21,2299317.083,1348335.382,33858435.68,746492.3041,27709735.51,-5402207.862
JCC,19036516.57,1912591.974,1106026.868,22055135.41,685308.5651,17040221.06,-4329605.785
ICC,33382044.36,1912591.974,1106026.868,36400663.2,685308.5651,17040221.06,-18675133.57
JAA,35145001.45,4598634.166,2680876.906,42424512.52,1492984.608,41296861.74,365333.8301
IAA,60701963.77,4598634.166,2680876.906,67981474.84,1492984.608,41296861.74,-25191628.49
