Strategy,lifecycle_infrastructure,environmental_restoration,safety,total_cost,aesthetic_benefit,avoided_economic_losses,net_benefit
INN,0,0,0,0,0,0,0
INC,21537267.32,1422186.244,832488.95,23791942.51,428482.4443,8319195.391,-15044264.67
INA,31280977.11,2968567.363,1774013.982,36023558.46,766942.446,17538445.22,-17718170.79
ICN,21068116.8,1422186.244,832488.95,23322791.99,428482.4443,17700949.36,-5193360.186
IAN,30897813.91,2968567.363,1774013.982,35640395.26,766942.446,37316965.9,2443513.086
JCC,24307815.98,2844372.488,1664977.9,28817166.37,856964.8885,25552156.54,-2408044.942
ICC,42605384.12,2844372.488,1664977.9,47114734.51,856964.8885,25552156.54,-20705613.08
JAA,35896399.02,5937134.726,3548027.963,45381561.71,1533884.892,53868803,10021126.18
IAA,62178791.02,5937134.726,3548027.963,71663953.71,1533884.892,53868803,-16261265.82
