Strategy,lifecycle_infrastructure,environmental_restoration,safety,total_cost,aesthetic_benefit,avoided_economic_losses,net_benefit
INN,0,0,0,0,0,0,0
INC,21512619.3,1628934.182,971271.5812,24112825.06,428482.4443,9764538.324,-13919804.29
INA,31256329.09,3175315.301,1912796.612,36344441,766942.446,19128710.67,-16448787.89
ICN,21023285.42,1628934.182,971271.5812,23623491.18,428482.4443,20454700.99,-2740307.752
IAN,30852982.53,3175315.301,1912796.612,35941094.44,766942.446,40070717.52,4896565.528
JCC,24238336.57,3257868.364,1942543.162,29438748.1,856964.8885,30219239.31,1637456.1
ICC,42535904.72,3257868.364,1942543.162,47736316.24,856964.8885,30219239.31,-16660112.04
JAA,35826919.62,6350630.602,3825593.225,46003143.44,1533884.892,59199428.19,14730169.64
IAA,62109311.62,6350630.602,3825593.225,72285535.44,1533884.892,59199428.19,-11552222.36
