Strategy,lifecycle_infrastructure_el,environmental_restoration_el,safety_el,total_cost_el,lifecycle_infrastructure_br,environmental_restoration_br,safety_br,total_cost_br
S1,3256233.3494522697,0.0,1052551.1923816444,4308784.541833913,1766952.981884261,0.0,1048641.36021888,2815594.34210314
S2,3262527.017651048,0.0,1048641.36021888,4311168.377869929,42875748.72512773,1422186.2438689072,1881130.3102380617,46179065.27923474
S3,3262527.017651048,0.0,1048641.36021888,4311168.377869929,61160222.28591169,2968567.362955318,2822655.341416154,66951444.99028317
S4,43902172.23806897,1422186.2438689072,1881130.3102380617,47205488.792175904,1766952.981884261,0.0,1048641.36021888,2815594.34210314
S5,62272633.11519906,2968567.362955318,2822655.341416154,68063855.81957054,1766952.981884261,0.0,1048641.36021888,2815594.34210314
S6,44818913.13282155,1422186.2438689072,1881130.3102380617,48122229.686928496,7456214.155141623,1422186.2438689072,1881130.3102380617,10759530.709248593
S7,43902172.23806897,1422186.2438689072,1881130.3102380617,47205488.792175904,42875748.72512773,1422186.2438689072,1881130.3102380617,46179065.27923474
S8,44818913.13282155,1422186.2438689072,1881130.3102380617,48122229.686928496,2602965.741965658,1422186.2438689072,1881130.3102380617,5906282.2960726265
S9,43902172.23806897,1422186.2438689072,1881130.3102380617,47205488.792175904,10520759.303954639,1422186.2438689072,1881130.3102380617,13824075.858061604
S10,63589427.9684988,2968567.362955318,2822655.341416154,69380650.67287025,10284057.499330444,2968567.362955318,2822655.341416154,16075280.203701911
S11,62272633.11519906,2968567.362955318,2822655.341416154,68063855.81957054,61160222.28591169,2968567.362955318,2822655.341416154,66951444.99028317
S12,63589427.9684988,2968567.362955318,2822655.341416154,69380650.67287025,3306052.278783932,2968567.362955318,2822655.341416154,9097274.9831554
S13,62272633.11519906,2968567.362955318,2822655.341416154,68063855.81957054,14640187.482268276,2968567.362955318,2822655.341416154,20431410.186639752
