Strategy,lifecycle_infrastructure,environmental_restoration,safety,total_cost,aesthetic_benefit,avoided_economic_losses,net_benefit
INN,0,0,0,0,0,0,0
INC,21537267.32,1422186.244,832488.95,23791942.51,428482.4443,2816656.483,-20546803.58
INA,31280977.11,2968567.363,1774013.982,36023558.46,766942.446,5938047.263,-29318568.75
ICN,21068116.8,1422186.244,832488.95,23322791.99,428482.4443,5900316.454,-16993993.09
IAN,30897813.91,2968567.363,1774013.982,35640395.26,766942.446,12438988.63,-22434464.18
JCC,24307815.98,2844372.488,1664977.9,28817166.37,856964.8885,8716972.937,-19243228.54
ICC,42605384.12,2844372.488,1664977.9,47114734.51,856964.8885,8716972.937,-37540796.68
JAA,35896399.02,5937134.726,3548027.963,45381561.71,1533884.892,18377035.9,-25470640.92
IAA,62178791.02,5937134.726,3548027.963,71663953.71,1533884.892,18377035.9,-51753032.92
