Strategy,lifecycle_infrastructure,environmental_restoration,safety,total_cost,aesthetic_benefit,avoided_economic_losses,net_benefit
INN,0,0,0,0,0,0,0
INC,31891165.33,1422186.244,832488.95,34145840.52,428482.4443,8449969.448,-25267388.63
INA,46153183.3,2968567.363,1774013.981,50895764.64,766942.446,17814141.79,-32314680.41
ICN,31422014.81,1422186.244,832488.95,33676690,428482.4443,17700949.36,-15547258.2
IAN,45770020.09,2968567.363,1774013.981,50512601.44,766942.446,37316965.9,-12428693.09
JCC,36442584.44,2844372.488,1664977.9,40951934.83,856964.8885,26150918.81,-13944051.13
ICC,63313180.13,2844372.488,1664977.9,67822530.52,856964.8885,26150918.81,-40814646.82
JAA,53326624.67,5937134.726,3548027.962,62811787.36,1533884.892,55131107.69,-6146794.778
IAA,91923203.39,5937134.726,3548027.962,101408366.1,1533884.892,55131107.69,-44743373.5
