Strategy,lifecycle_infrastructure,environmental_restoration,safety,total_cost,aesthetic_benefit,avoided_economic_losses,net_benefit
INN,0,0,0,0,0,0,0
INC,21627916,1422186.244,901875.2447,23951977.49,428482.4443,7190067.609,-16333427.44
INA,31371625.79,2968567.363,1843400.276,36183593.43,766942.446,14993544.56,-20423106.42
ICN,21158765.47,1422186.244,901875.2447,23482826.96,428482.4443,14899217.54,-8155126.979
IAN,30988462.58,2968567.363,1843400.276,35800430.22,766942.446,31245897.98,-3787589.79
JCC,24398464.65,2844372.488,1734364.195,28977201.34,856964.8885,21940858.74,-6179377.707
ICC,42696032.8,2844372.488,1734364.195,47274769.48,856964.8885,21940858.74,-24476945.85
JAA,35987047.7,5937134.726,3617414.257,45541596.68,1533884.892,46091016.14,2083304.355
IAA,62269439.7,5937134.726,3617414.257,71823988.68,1533884.892,46091016.14,-24199087.65
