Strategy,lifecycle_infrastructure,environmental_restoration,safety,total_cost,aesthetic_benefit,avoided_economic_losses,net_benefit
INN,2385365.407,0,1202491.303,3587856.71,0,0,-3587856.71
INC,14545356.01,565125.6812,1510919.872,16621401.57,254367.1932,2701141.036,-13665893.34
INA,31767086.79,1675351.517,2126833.608,35569271.92,718271.8723,8048995.217,-26802004.83
ICN,14256188.21,565125.6812,1510919.872,16332233.76,254367.1932,5658335.333,-10419531.24
IAN,31534037.09,1675351.517,2126833.608,35336222.22,718271.8723,16860990.76,-17756959.59
JCC,16061840.6,1130251.362,1819348.441,19011440.4,508734.3863,8359476.369,-10143229.64
ICC,26416178.82,1130251.362,1819348.441,29365778.62,508734.3863,8359476.369,-20497567.86
JAA,36355945.23,3350703.034,3051175.912,42757824.17,1436543.745,24909985.97,-16411294.46
IAA,60915758.48,3350703.034,3051175.912,67317637.42,1436543.745,24909985.97,-40971107.71
