Strategy,lifecycle_infrastructure,environmental_restoration,safety,total_cost,aesthetic_benefit,avoided_economic_losses,net_benefit
INN,3639249.507,0,1634841.963,5274091.47,0,0,-5274091.47
INC,20506378.71,956295.9871,2179958.469,23642633.17,342654.2826,5606422.01,-17693556.87
INA,34130430.06,2299317.083,2967383.487,39397130.63,746492.3041,13587126.23,-25063512.09
ICN,20122826.87,956295.9871,2179958.469,23259081.33,342654.2826,11744301.88,-11172125.16
IAN,33818694.93,2299317.083,2967383.487,39085395.5,746492.3041,28462237.04,-9876666.153
JCC,22644428.28,1912591.974,2725074.974,27282095.23,685308.5651,17350723.89,-9246062.777
ICC,36989956.07,1912591.974,2725074.974,41627623.02,685308.5651,17350723.89,-23591590.57
JAA,38752913.17,4598634.166,4299925.012,47651472.34,1492984.608,42049363.28,-4109124.461
IAA,64309875.48,4598634.166,4299925.012,73208434.66,1492984.608,42049363.28,-29666086.78
