Strategy,lifecycle_infrastructure,environmental_restoration,safety,total_cost,aesthetic_benefit,avoided_economic_losses,net_benefit
INN,0,0,0,0,0,0,0
INC,28122963.82,2199731.4,1319032.498,29003662.73,547432.7364,2204882.992,-26251347
INA,32115948.6,4003428.946,2460288.818,33659088.72,788899.7734,4060624.142,-28809564.81
ICN,27545512.01,2199731.4,1319032.498,28426210.91,547432.7364,4618776.723,-23260001.45
IAN,31642930.52,4003428.946,2460288.818,33186070.65,788899.7734,8506173.04,-23890997.84
JCC,31809844.81,4399462.8,2638064.997,33571242.62,1094865.473,6823659.715,-25652717.43
ICC,55668475.83,4399462.8,2638064.997,57429873.64,1094865.473,6823659.715,-49511348.45
JAA,36694844.42,8006857.892,4920577.635,39781124.68,1577799.547,12566797.18,-25636527.95
IAA,63758879.12,8006857.892,4920577.635,66845159.38,1577799.547,12566797.18,-52700562.65
