Strategy,lifecycle_infrastructure,environmental_restoration,safety,total_cost,aesthetic_benefit,avoided_economic_losses,net_benefit
INN,0,0,0,0,0,0,0
INC,21537267.32,1422186.244,832488.95,23791942.51,428482.4443,8449969.448,-14913490.62
INA,31280977.11,2968567.363,1774013.981,36023558.45,766942.446,17814141.79,-17442474.21
ICN,21068116.8,1422186.244,832488.95,23322791.99,428482.4443,17700949.36,-5193360.186
IAN,30897813.91,2968567.363,1774013.981,35640395.25,766942.446,37316965.9,2443513.096
JCC,26517667.2,2844372.488,1664977.9,31027017.59,856964.8885,26150918.81,-4019133.892
ICC,42605384.12,2844372.488,1664977.9,47114734.51,856964.8885,26150918.81,-20106850.81
JAA,39070600.95,5937134.726,3548027.962,48555763.64,1533884.892,55131107.69,8109228.942
IAA,62178791.02,5937134.726,3548027.962,71663953.71,1533884.892,55131107.69,-14998961.13
