Strategy,lifecycle_infrastructure,environmental_restoration,safety,total_cost,aesthetic_benefit,avoided_economic_losses,net_benefit
INN,5029480,0,2097282.72,7126762.72,0,0,-7126762.72
INC,26566747.32,1422186.244,2929771.67,30918705.24,428482.4443,9858297.69,-20631925.11
INA,36310457.11,2968567.363,3871296.702,43150321.18,766942.446,20783165.42,-21600213.31
ICN,26097596.8,1422186.244,2929771.67,30449554.71,428482.4443,20651107.59,-9369964.677
IAN,35927293.91,2968567.363,3871296.702,42767157.97,766942.446,43536460.22,1536244.691
JCC,29337295.98,2844372.488,3762260.62,35943929.09,856964.8885,30509405.28,-4577558.923
ICC,47634864.12,2844372.488,3762260.62,54241497.23,856964.8885,30509405.28,-22875127.06
JAA,40925879.02,5937134.726,5645310.683,52508324.43,1533884.892,64319625.64,13345186.1
IAA,67208271.02,5937134.726,5645310.683,78790716.43,1533884.892,64319625.64,-12937205.9
