year,net_benefit,under_prop,,
0,-36677.25265,0.33837619,-36677.25265,1
1,-118448211.3,0.356212685,-107680192.1,1.1
2,-116370876.9,0.358287737,-96174278.43,1.21
3,-110610366.1,0.361957561,-83103205.18,1.331
4,-108533755.2,0.36873995,-74130015.16,1.4641
5,-105498871.4,0.377764229,-65506498.81,1.61051
6,-101556216.1,0.385862755,-57325836.42,1.771561
7,-97667329.06,0.392206068,-50118782.79,1.9487171
8,-93651580.92,0.402850326,-43689153.67,2.14358881
9,-89670712.27,0.415370542,-38029135.51,2.357947691
10,-85235890.82,0.425976383,-32862125.72,2.59374246
npv,,0.425976383,-648655901.1,
