strategy,net benefit,under_prop
I_NN,-5420000,0.33837619
I_NC,-12200000,0.425976383
I_NA,-24900000,0.668061154
I_CN,-368000,0.425976383
I_AN,-2550000,0.668061154
J_CC,1510000,0.513576576
I_CC,-7190000,0.513576576
J_AA,-1410000,0.997746119
I_AA,-22100000,0.997746119
