year,net_benefit,under_prop,,
0,-36677.25265,0.33837619,-36677.25265,1
1,-81943902.02,0.892009613,-74494456.38,1.1
2,-37625676.49,0.917887561,-31095600.4,1.21
3,-59165785.22,0.938305423,-44452130.14,1.331
4,-60952361.43,0.957234652,-41631282.99,1.4641
5,-62422269.06,0.971948227,-38759317.89,1.61051
6,-63714083.52,0.982712451,-35964939.12,1.771561
7,-64845615.95,0.989885838,-33276054.26,1.9487171
8,-65262404.37,0.992727256,-30445393.29,2.14358881
9,-65819515.82,0.994802794,-27913899.9,2.357947691
10,-66182849.3,0.997746119,-25516353.42,2.59374246
npv,,0.997746119,-383586105.1,
