year,net_benefit,under_prop,,
0,-36677.25265,0.33837619,-36677.25265,1
1,-68962342.53,0.615192901,-62693038.66,1.1
2,-36777243.73,0.628131876,-30394416.31,1.21
3,-58364011.21,0.638340806,-43849745.46,1.331
4,-60166674.52,0.647805421,-41094648.26,1.4641
5,-61716244.12,0.655162209,-38320931.95,1.61051
6,-63088352.87,0.66054432,-35611730.49,1.771561
7,-64289073.38,0.664131014,-32990459.92,1.9487171
8,-64830238.86,0.665551723,-30243784.89,2.14358881
9,-65391324.8,0.666589492,-27732305.11,2.357947691
10,-65735690.6,0.668061154,-25343954.39,2.59374246
npv,,0.668061154,-368311692.7,
