year,net_benefit,under_prop,,
0,-36677.25265,0.33837619,-36677.25265,1
1,-74040073.75,0.892009613,-67309157.95,1.1
2,-37251906.34,0.917887561,-30786699.45,1.21
3,-58863809.59,0.938305423,-44225251.38,1.331
4,-60665448.75,0.957234652,-41435317.77,1.4641
5,-62195342.61,0.971948227,-38618414.42,1.61051
6,-63543702.47,0.982712451,-35868763.46,1.771561
7,-64731986.06,0.989885838,-33217744.16,1.9487171
8,-65215689.41,0.992727256,-30423600.42,2.14358881
9,-65785328.82,0.994802794,-27899401.28,2.357947691
10,-66131241.29,0.997746119,-25496456.3,2.59374246
npv,,0.997746119,-375317483.8,
